representation,iso3,Country,m49_subregion,observed,M0star_cv_prediction,M1b_cv_prediction,M0star_abs_error,M1b_abs_error,M0star_unseen_levels,M1b_unseen_levels,abs_error_change
primary_total_co2,LBY,Libya,Northern Africa,0.19059948923507644,0.2505205820461809,0.26979278108225013,0.05992109281110444,0.07919329184717369,0,0,0.01927219903606925
primary_total_co2,MDG,Madagascar,Eastern Africa,0.1813544794012833,0.18428197145889202,0.18429015920885383,0.002927492057608727,0.002935679807570535,0,0,8.187749961807711e-06
primary_total_co2,MWI,Malawi,Eastern Africa,0.18854099012577252,0.18874997169988442,0.18853040131707516,0.00020898157411189389,1.0588808697364893e-05,0,0,-0.000198392765414529
primary_total_co2,MLI,Mali,Western Africa,0.24782669503123966,0.2083060717968345,0.208177794216028,0.03952062323440517,0.03964890081521166,0,0,0.0001282775808064962
primary_total_co2,MRT,Mauritania,Western Africa,0.2597916027159455,0.19026637296375742,0.18930375452133474,0.06952522975218806,0.07048784819461074,0,0,0.0009626184424226802
primary_total_co2,MAR,Morocco,Northern Africa,0.2418455862979349,0.18768737102639993,0.18620884496483653,0.05415821527153497,0.05563674133309837,0,0,0.001478526061563401
primary_total_co2,MOZ,Mozambique,Eastern Africa,0.172823801894673,0.19953410778294844,0.1990268652461803,0.026710305888275443,0.026203063351507294,0,0,-0.0005072425367681488
primary_total_co2,NAM,Namibia,Southern Africa,0.17785319196923344,0.20449328123176846,0.20455210028087295,0.026640089262535027,0.026698908311639513,0,0,5.881904910448599e-05
primary_total_co2,NER,Niger,Western Africa,0.2385606960588716,0.23761367165535188,0.23793063508896517,0.0009470244035197084,0.0006300609699064208,0,0,-0.0003169634336132876
primary_total_co2,NGA,Nigeria,Western Africa,0.2030109401107239,0.20066537224652975,0.20077656003391492,0.0023455678641941535,0.002234380076808984,0,0,-0.00011118778738516966
primary_total_co2,RWA,Rwanda,Eastern Africa,0.20845952779692498,0.18465781439006268,0.1842407404548378,0.023801713406862296,0.024218787342087184,0,0,0.00041707393522488756
primary_total_co2,SEN,Senegal,Western Africa,0.24097868636270878,0.18728015982924984,0.1845752139092134,0.05369852653345894,0.05640347245349539,0,0,0.00270494592003645
primary_total_co2,SLE,Sierra Leone,Western Africa,0.22372060994282955,0.1890789936696308,0.18684129760799328,0.034641616273198755,0.03687931233483627,0,0,0.002237696061637512
primary_total_co2,SOM,Somalia,Eastern Africa,0.19588332023430152,0.19143515494218308,0.19225712197731568,0.0044481652921184445,0.0036261982569858464,0,0,-0.0008219670351325981
primary_total_co2,ZAF,South Africa,Southern Africa,0.16028496312204338,0.2031572392114474,0.20277420508424338,0.04287227608940403,0.0424892419622,0,0,-0.0003830341272040294
primary_total_co2,SDN,Sudan,Northern Africa,0.20487305719629992,0.2583186049306318,0.25948958826143964,0.05344554773433188,0.05461653106513972,0,0,0.00117098333080784
primary_total_co2,SWZ,Swaziland,Southern Africa,0.15934183499515397,0.2081157677474389,0.21096229122464427,0.04877393275228492,0.0516204562294903,0,0,0.002846523477205376
primary_total_co2,TZA,Tanzania,Eastern Africa,0.20953051997740807,0.15454788374160808,0.15325246291494998,0.05498263623579999,0.05627805706245809,0,0,0.0012954208266580947
