iso3,Country,abs_latitude,elevation,continentality,climate_zone,hemisphere,spatial_block
SYR,Syria,35.01463367718799,519.2317443162614,232.97105536447924,B,N,Asia
TWN,Taiwan,23.74948676745924,774.2739747979415,23.990792247945464,C,N,Asia
TJK,Tajikistan,38.500377240079914,2929.6269093882756,1389.6118686225652,E,N,Asia
THA,Thailand,15.024109470996702,279.2175756089648,217.58103318998292,A,N,Asia
TUR,Turkey,39.03787712616993,1138.374647226716,157.2288206337708,D,N,Asia
TKM,Turkmenistan,39.07793399940572,204.04478471591483,457.11232801841,B,N,Asia
ARE,United Arab Emirates,23.845448709690675,115.80898727177652,76.17564673573334,B,N,Asia
UZB,Uzbekistan,41.497100606282004,383.48630044003545,773.1202206248771,B,N,Asia
VNM,Vietnam,16.500838305536153,389.25157489460383,118.7510977185727,A,N,Asia
YEM,Yemen,15.898842171459473,934.0479236302248,164.58392246120584,B,N,Asia
ALB,Albania,41.09828318324347,672.1025132055724,51.04033366689139,C,N,Europe
AUT,Austria,47.577670134386686,956.0195005837575,241.63720185843792,D,N,Europe
BLR,Belarus,53.5058536910757,160.267702727341,449.94106062018096,D,N,Europe
BEL,Belgium,50.65311790735915,148.25996121106743,123.72560507771526,C,N,Europe
BIH,Bosnia And Herzegovina,44.14190988311098,686.7043748919427,124.45154397052242,D,N,Europe
BGR,Bulgaria,42.7644031630276,464.9544054132046,152.69957536700113,D,N,Europe
HRV,Croatia,45.01518813473553,310.58240263555984,108.20251996570109,D,N,Europe
CYP,Cyprus,35.05069551652412,297.7131921010304,13.987739298984163,C,N,Europe
CZE,Czech Republic,49.725623554790076,448.6049988720529,425.1072348750534,D,N,Europe
DNK,Denmark,55.93421688513106,,25.47368218884882,D,N,Europe
EST,Estonia,58.64167185417578,55.17520764904898,63.07831448629588,D,N,Europe
FIN,Finland,64.31820301292775,157.83238889445792,131.93288504532637,D,N,Europe
FRA,France,46.47534333027907,346.3535486036368,173.2995457907336,C,N,Europe
DEU,Germany,51.02600483760894,261.4466266429641,252.13709780223414,D,N,Europe
GRC,Greece,39.003035216298144,487.79685937184325,45.449142028293664,C,N,Europe
HUN,Hungary,47.16930881641803,148.76444565242372,421.09215090616226,D,N,Europe
ISL,Iceland,64.97231406272311,511.244054470814,45.165808637881064,E,N,Europe
IRL,Ireland,53.15822363454746,109.7344406754156,36.58398830458033,C,N,Europe
ITA,Italy,42.658580375036095,538.6750980124737,61.923449480428964,C,N,Europe
LVA,Latvia,56.839398097556334,86.20871179049894,96.32687901018754,D,N,Europe
LTU,Lithuania,55.34048214692128,102.07895413401928,147.51771305806307,D,N,Europe
