iso3,Country,feature,coverage_basis,achieved,required,rule,passes,missing_area_km2,missing_support_source,classification
TCD,Chad,climate_zone,classified terrestrial area,1.0,0.95,>= 95% and A1 - A2 > unclassified,True,0.0,,
TCD,Chad,spatial_block,OWID label present,1.0,1.0,nonmissing,True,0.0,,
COG,Congo,abs_latitude,geometry,1.0,1.0,100% geometry,True,0.0,,
COG,Congo,hemisphere,geometry,1.0,1.0,100% geometry,True,0.0,,
COG,Congo,elevation,valid terrestrial area (land-centred ETOPO pixels),0.999087291233432,0.98,>= 98%,True,311.21686702451143,,
COG,Congo,continentality,terrestrial area with a distance value,0.9999999999999012,0.98,>= 98%,True,3.369233738404628e-08,,
COG,Congo,climate_zone,classified terrestrial area,0.9999952350045138,0.95,>= 95% and A1 - A2 > unclassified,True,1.624775635904433,,
COG,Congo,spatial_block,OWID label present,1.0,1.0,nonmissing,True,0.0,,
COD,Congo (Democratic Republic Of The),abs_latitude,geometry,1.0,1.0,100% geometry,True,0.0,,
COD,Congo (Democratic Republic Of The),hemisphere,geometry,1.0,1.0,100% geometry,True,0.0,,
COD,Congo (Democratic Republic Of The),elevation,valid terrestrial area (land-centred ETOPO pixels),0.9992666124097752,0.98,>= 98%,True,1687.933116976656,,
COD,Congo (Democratic Republic Of The),continentality,terrestrial area with a distance value,0.9999999999998732,0.98,>= 98%,True,2.918085488369256e-07,,
COD,Congo (Democratic Republic Of The),climate_zone,classified terrestrial area,1.0,0.95,>= 95% and A1 - A2 > unclassified,True,0.0,,
COD,Congo (Democratic Republic Of The),spatial_block,OWID label present,1.0,1.0,nonmissing,True,0.0,,
CIV,Côte D'Ivoire,abs_latitude,geometry,1.0,1.0,100% geometry,True,0.0,,
CIV,Côte D'Ivoire,hemisphere,geometry,1.0,1.0,100% geometry,True,0.0,,
CIV,Côte D'Ivoire,elevation,valid terrestrial area (land-centred ETOPO pixels),0.9988251338942792,0.98,>= 98%,True,377.1971710727006,,
CIV,Côte D'Ivoire,continentality,terrestrial area with a distance value,0.9999999999999312,0.98,>= 98%,True,2.2099475753681953e-08,,
CIV,Côte D'Ivoire,climate_zone,classified terrestrial area,0.9999785713632985,0.95,>= 95% and A1 - A2 > unclassified,True,6.879780686835781,,
CIV,Côte D'Ivoire,spatial_block,OWID label present,1.0,1.0,nonmissing,True,0.0,,
DJI,Djibouti,abs_latitude,geometry,1.0,1.0,100% geometry,True,0.0,,
DJI,Djibouti,hemisphere,geometry,1.0,1.0,100% geometry,True,0.0,,
DJI,Djibouti,elevation,valid terrestrial area (land-centred ETOPO pixels),0.9957084178501658,0.98,>= 98%,True,94.61563459120572,,
DJI,Djibouti,continentality,terrestrial area with a distance value,1.0000000000000175,0.98,>= 98%,True,-3.8673439003478753e-10,,
DJI,Djibouti,climate_zone,classified terrestrial area,1.0,0.95,>= 95% and A1 - A2 > unclassified,True,0.0,,
DJI,Djibouti,spatial_block,OWID label present,1.0,1.0,nonmissing,True,0.0,,
