representation,model,protocol,fit,column,coefficient
primary_total_co2,M0star,primary_loco,BWA,intercept,0.27227533520060165
primary_total_co2,M0star,primary_loco,BWA,cum_co2_total,0.0169881410091743
primary_total_co2,M0star,primary_loco,BWA,abs_latitude,0.0012470921830313793
primary_total_co2,M0star,primary_loco,BWA,elevation,1.1426531861082107e-06
primary_total_co2,M0star,primary_loco,BWA,continentality,4.0623492866213344e-05
primary_total_co2,M0star,primary_loco,BWA,population,-0.017247646192011443
primary_total_co2,M0star,primary_loco,BWA,station_density,-0.0013671599961144268
primary_total_co2,M0star,primary_loco,BWA,climate_zone=B,0.007757285357169269
primary_total_co2,M0star,primary_loco,BWA,climate_zone=C,-0.025753808073364814
primary_total_co2,M0star,primary_loco,BWA,climate_zone=D,-0.011945634393093266
primary_total_co2,M0star,primary_loco,BWA,climate_zone=E,-0.10234367477473441
primary_total_co2,M0star,primary_loco,BWA,hemisphere=S,-0.013587895057816974
primary_total_co2,M0star,primary_loco,BWA,spatial_block=Asia,-0.05846286299153741
primary_total_co2,M0star,primary_loco,BWA,spatial_block=Europe,-0.06824234957816055
primary_total_co2,M0star,primary_loco,BWA,spatial_block=North America,-0.0945679873165047
primary_total_co2,M0star,primary_loco,BWA,spatial_block=Oceania,-0.0723011571885382
primary_total_co2,M0star,primary_loco,BWA,spatial_block=South America,-0.07720945252480192
primary_total_co2,M0star,primary_loco,BWA,income_group=Low-income countries,0.0007305240090101214
primary_total_co2,M0star,primary_loco,BWA,income_group=Lower-middle-income countries,-0.008599285477297575
primary_total_co2,M0star,primary_loco,BWA,income_group=Upper-middle-income countries,-0.01173318406423887
primary_total_co2,M0star,primary_loco,BFA,intercept,0.252798340796973
primary_total_co2,M0star,primary_loco,BFA,cum_co2_total,0.019159678152551447
primary_total_co2,M0star,primary_loco,BFA,abs_latitude,0.0010382968142416877
primary_total_co2,M0star,primary_loco,BFA,elevation,2.2180004654526086e-07
primary_total_co2,M0star,primary_loco,BFA,continentality,4.0788643958302084e-05
primary_total_co2,M0star,primary_loco,BFA,population,-0.01667842438831419
primary_total_co2,M0star,primary_loco,BFA,station_density,-0.0017421637264964428
primary_total_co2,M0star,primary_loco,BFA,climate_zone=B,0.004762560456406797
primary_total_co2,M0star,primary_loco,BFA,climate_zone=C,-0.022032959932206882
