representation,model,iso3,column,group,value
primary_total_co2,M0star,GRC,intercept,intercept,1.0
primary_total_co2,M0star,HUN,intercept,intercept,1.0
primary_total_co2,M0star,ISL,intercept,intercept,1.0
primary_total_co2,M0star,IRL,intercept,intercept,1.0
primary_total_co2,M0star,ITA,intercept,intercept,1.0
primary_total_co2,M0star,LVA,intercept,intercept,1.0
primary_total_co2,M0star,LTU,intercept,intercept,1.0
primary_total_co2,M0star,MKD,intercept,intercept,1.0
primary_total_co2,M0star,MDA,intercept,intercept,1.0
primary_total_co2,M0star,MNE,intercept,intercept,1.0
primary_total_co2,M0star,NLD,intercept,intercept,1.0
primary_total_co2,M0star,NOR,intercept,intercept,1.0
primary_total_co2,M0star,POL,intercept,intercept,1.0
primary_total_co2,M0star,PRT,intercept,intercept,1.0
primary_total_co2,M0star,ROU,intercept,intercept,1.0
primary_total_co2,M0star,RUS,intercept,intercept,1.0
primary_total_co2,M0star,SRB,intercept,intercept,1.0
primary_total_co2,M0star,SVK,intercept,intercept,1.0
primary_total_co2,M0star,SVN,intercept,intercept,1.0
primary_total_co2,M0star,ESP,intercept,intercept,1.0
primary_total_co2,M0star,SWE,intercept,intercept,1.0
primary_total_co2,M0star,CHE,intercept,intercept,1.0
primary_total_co2,M0star,UKR,intercept,intercept,1.0
primary_total_co2,M0star,GBR,intercept,intercept,1.0
primary_total_co2,M0star,BHS,intercept,intercept,1.0
primary_total_co2,M0star,CAN,intercept,intercept,1.0
primary_total_co2,M0star,CRI,intercept,intercept,1.0
primary_total_co2,M0star,CUB,intercept,intercept,1.0
primary_total_co2,M0star,DOM,intercept,intercept,1.0
primary_total_co2,M0star,SLV,intercept,intercept,1.0
primary_total_co2,M0star,GTM,intercept,intercept,1.0
primary_total_co2,M0star,HTI,intercept,intercept,1.0
primary_total_co2,M0star,HND,intercept,intercept,1.0
primary_total_co2,M0star,JAM,intercept,intercept,1.0
primary_total_co2,M0star,MEX,intercept,intercept,1.0
primary_total_co2,M0star,NIC,intercept,intercept,1.0
primary_total_co2,M0star,PAN,intercept,intercept,1.0
primary_total_co2,M0star,USA,intercept,intercept,1.0
primary_total_co2,M0star,AUS,intercept,intercept,1.0
primary_total_co2,M0star,NZL,intercept,intercept,1.0
primary_total_co2,M0star,PNG,intercept,intercept,1.0
primary_total_co2,M0star,ARG,intercept,intercept,1.0
primary_total_co2,M0star,BOL,intercept,intercept,1.0
primary_total_co2,M0star,BRA,intercept,intercept,1.0
primary_total_co2,M0star,CHL,intercept,intercept,1.0
primary_total_co2,M0star,COL,intercept,intercept,1.0
primary_total_co2,M0star,ECU,intercept,intercept,1.0
