measurement,representation,protocol,fit,n_train,n_test,n_train_sh,n_train_nh,train_lat_min,train_lat_max,train_sh_lat_min,train_sh_lat_max,test_rows_with_unseen_level,baseline_columns,baseline_rank,baseline_singular_max,baseline_singular_min,baseline_condition_raw,baseline_condition_unit_columns,knot_lower_boundary,knot_interior_1,knot_interior_2,knot_upper_boundary,test_below_lower_boundary,test_above_upper_boundary,test_lat_min,test_lat_max,candidate_columns,candidate_rank,candidate_singular_max,candidate_singular_min,candidate_condition_raw,candidate_condition_unit_columns,added_min_singular_value_unit_columns,added_identifiable_dimensions,latitude_state,structural_pass,failure
station,primary_total_co2,primary_loco,COG,143,1,26,117,1.3366666666666667,65.09,1.3366666666666667,39.562222222222225,0,20,20,9823.526474233848,0.5239081219976102,18750.475630684454,103.82414610454674,1.3366666666666667,18.48,37.93142857142857,65.09,0,0,4.02,4.02,23,23,13535.457884153198,0.5237500815125078,25843.352319993777,114.65132287883755,0.029675621096971222,3,"{""boundary_knots"": ""training minimum and maximum"", ""knots"": [1.3366666666666667, 18.48, 37.93142857142857, 65.09], ""knots_hex"": [""0x1.562fc962fc963p+0"", ""0x1.27ae147ae147bp+4"", ""0x1.2f7390d2a6c40p+5"", ""0x1.045c28f5c28f6p+6""], ""n_train"": 143, ""probabilities"": [""1/3"", ""2/3""], ""quantile_method"": ""linear"", ""tails"": ""linear beyond the boundary knots"", ""version"": ""m2-latitude-basis-v1""}",True,
station,primary_total_co2,primary_loco,COD,133,1,18,115,1.790769230769231,65.09,1.790769230769231,39.562222222222225,0,20,20,8588.366729409363,0.508103736913589,16902.782060959235,104.30005946050238,1.790769230769231,19.016666666666666,39.562222222222225,65.09,0,0,4.717826086956522,4.717826086956522,23,23,13301.595979130961,0.5059530303670953,26290.17948460544,121.89313068103364,0.02835449273579126,3,"{""boundary_knots"": ""training minimum and maximum"", ""knots"": [1.790769230769231, 19.016666666666666, 39.562222222222225, 65.09], ""knots_hex"": [""0x1.ca6fda30d640ap+0"", ""0x1.3044444444444p+4"", ""0x1.3c7f6e5d4c3b3p+5"", ""0x1.045c28f5c28f6p+6""], ""n_train"": 133, ""probabilities"": [""1/3"", ""2/3""], ""quantile_method"": ""linear"", ""tails"": ""linear beyond the boundary knots"", ""version"": ""m2-latitude-basis-v1""}",True,
station,primary_total_co2,primary_loco,CIV,141,1,29,112,0.8,65.09,1.3366666666666667,39.562222222222225,0,20,20,9924.529592061934,0.5402667100524378,18369.685578255725,101.72168751116321,0.8,18.65888888888889,38.30848739495798,65.09,0,0,6.492307692307692,6.492307692307692,23,23,13841.863764959404,0.5381976445726054,25718.922972900655,116.06874656879087,0.030834515386098386,3,"{""boundary_knots"": ""training minimum and maximum"", ""knots"": [0.8, 18.65888888888889, 38.30848739495798, 65.09], ""knots_hex"": [""0x1.999999999999ap-1"", ""0x1.2a8acf13579bep+4"", ""0x1.3277c83d44950p+5"", ""0x1.045c28f5c28f6p+6""], ""n_train"": 141, ""probabilities"": [""1/3"", ""2/3""], ""quantile_method"": ""linear"", ""tails"": ""linear beyond the boundary knots"", ""version"": ""m2-latitude-basis-v1""}",True,
station,primary_total_co2,primary_loco,DJI,145,1,29,116,0.8,65.09,1.3366666666666667,39.562222222222225,0,20,20,9590.442569211595,0.5497039457989621,17446.55944805427,101.19110056790888,0.8,16.87,37.78,65.09,0,0,12.05,12.05,23,23,13924.597388622244,0.5457861848829823,25512.916549193542,128.69024273685966,0.0258484298294682,3,"{""boundary_knots"": ""training minimum and maximum"", ""knots"": [0.8, 16.87, 37.78, 65.09], ""knots_hex"": [""0x1.999999999999ap-1"", ""0x1.0deb851eb851fp+4"", ""0x1.2e3d70a3d70a4p+5"", ""0x1.045c28f5c28f6p+6""], ""n_train"": 145, ""probabilities"": [""1/3"", ""2/3""], ""quantile_method"": ""linear"", ""tails"": ""linear beyond the boundary knots"", ""version"": ""m2-latitude-basis-v1""}",True,
station,primary_total_co2,primary_loco,EGY,137,1,29,108,0.8,65.09,1.3366666666666667,39.562222222222225,0,20,20,9659.003638477461,0.5290694333492176,18256.58983421546,102.32736362446076,0.8,14.500888888888888,38.84888888888887,65.09,0,0,29.316842105263156,29.316842105263156,23,23,14222.973157491246,0.5282313115237204,26925.653302270322,145.8625108311475,0.021168992936601776,3,"{""boundary_knots"": ""training minimum and maximum"", ""knots"": [0.8, 14.500888888888888, 38.84888888888887, 65.09], ""knots_hex"": [""0x1.999999999999ap-1"", ""0x1.d007482296a44p+3"", ""0x1.36ca8641fdb95p+5"", ""0x1.045c28f5c28f6p+6""], ""n_train"": 137, ""probabilities"": [""1/3"", ""2/3""], ""quantile_method"": ""linear"", ""tails"": ""linear beyond the boundary knots"", ""version"": ""m2-latitude-basis-v1""}",True,
station,primary_total_co2,primary_loco,GNQ,145,1,28,117,1.3366666666666667,65.09,1.3366666666666667,39.562222222222225,0,20,20,9914.734338436152,0.5243259336655602,18909.48683221196,104.30671366181804,1.3366666666666667,18.48,37.78,65.09,0,0,3.215,3.215,23,23,13532.59672124659,0.5241631116728241,25817.529734319538,114.87443561022907,0.029727833126368716,3,"{""boundary_knots"": ""training minimum and maximum"", ""knots"": [1.3366666666666667, 18.48, 37.78, 65.09], ""knots_hex"": [""0x1.562fc962fc963p+0"", ""0x1.27ae147ae147bp+4"", ""0x1.2e3d70a3d70a4p+5"", ""0x1.045c28f5c28f6p+6""], ""n_train"": 145, ""probabilities"": [""1/3"", ""2/3""], ""quantile_method"": ""linear"", ""tails"": ""linear beyond the boundary knots"", ""version"": ""m2-latitude-basis-v1""}",True,
station,primary_total_co2,primary_loco,ERI,143,1,29,114,0.8,65.09,1.3366666666666667,39.562222222222225,0,20,20,9559.69466384496,0.5473176885412165,17466.445656680167,100.72597416007824,0.8,17.40666666666666,37.93142857142857,65.09,0,0,15.27,15.27,23,23,13873.72971706509,0.5435043875954509,25526.435542580726,125.08091344340117,0.027002866393191476,3,"{""boundary_knots"": ""training minimum and maximum"", ""knots"": [0.8, 17.40666666666666, 37.93142857142857, 65.09], ""knots_hex"": [""0x1.999999999999ap-1"", ""0x1.1681b4e81b4e6p+4"", ""0x1.2f7390d2a6c40p+5"", ""0x1.045c28f5c28f6p+6""], ""n_train"": 143, ""probabilities"": [""1/3"", ""2/3""], ""quantile_method"": ""linear"", ""tails"": ""linear beyond the boundary knots"", ""version"": ""m2-latitude-basis-v1""}",True,
station,primary_total_co2,primary_loco,ETH,141,1,27,114,0.8,65.09,1.790769230769231,39.562222222222225,0,20,20,9265.176547521767,0.5495030129168104,16861.011367965744,99.85072768269418,0.8,18.48,38.30848739495798,65.09,0,0,9.553333333333335,9.553333333333335,23,23,13783.875040825798,0.5445742707615759,25311.285862898614,122.8825034630626,0.028450617886105072,3,"{""boundary_knots"": ""training minimum and maximum"", ""knots"": [0.8, 18.48, 38.30848739495798, 65.09], ""knots_hex"": [""0x1.999999999999ap-1"", ""0x1.27ae147ae147bp+4"", ""0x1.3277c83d44950p+5"", ""0x1.045c28f5c28f6p+6""], ""n_train"": 141, ""probabilities"": [""1/3"", ""2/3""], ""quantile_method"": ""linear"", ""tails"": ""linear beyond the boundary knots"", ""version"": ""m2-latitude-basis-v1""}",True,
station,primary_total_co2,primary_loco,GAB,143,1,26,117,1.3366666666666667,65.09,1.3366666666666667,39.562222222222225,0,20,20,9846.962646607393,0.5239716102302292,18792.93162902607,103.66800760456465,1.3366666666666667,18.48,37.93142857142857,65.09,1,0,0.8,0.8,23,23,13539.604957100823,0.5238024160015657,25848.687488796062,114.49013163083035,0.029683437673594226,3,"{""boundary_knots"": ""training minimum and maximum"", ""knots"": [1.3366666666666667, 18.48, 37.93142857142857, 65.09], ""knots_hex"": [""0x1.562fc962fc963p+0"", ""0x1.27ae147ae147bp+4"", ""0x1.2f7390d2a6c40p+5"", ""0x1.045c28f5c28f6p+6""], ""n_train"": 143, ""probabilities"": [""1/3"", ""2/3""], ""quantile_method"": ""linear"", ""tails"": ""linear beyond the boundary knots"", ""version"": ""m2-latitude-basis-v1""}",True,
station,primary_total_co2,primary_loco,GHA,142,1,29,113,0.8,65.09,1.3366666666666667,39.562222222222225,0,20,20,9910.164282518821,0.541560155546342,18299.286203064836,101.58982690310985,0.8,18.48,38.00714285714286,65.09,0,0,6.164444444444444,6.164444444444444,23,23,13820.858405796287,0.5400027960082058,25594.049712265318,116.12310416837518,0.030160372516026338,3,"{""boundary_knots"": ""training minimum and maximum"", ""knots"": [0.8, 18.48, 38.00714285714286, 65.09], ""knots_hex"": [""0x1.999999999999ap-1"", ""0x1.27ae147ae147bp+4"", ""0x1.300ea0ea0ea0fp+5"", ""0x1.045c28f5c28f6p+6""], ""n_train"": 142, ""probabilities"": [""1/3"", ""2/3""], ""quantile_method"": ""linear"", ""tails"": ""linear beyond the boundary knots"", ""version"": ""m2-latitude-basis-v1""}",True,
