iso3,Country,m49_subregion,observed,C0_cv_prediction,M1a_cv_prediction,C0_abs_error,M1a_abs_error,C0_unseen_levels,M1a_unseen_levels,abs_error_change,pair
EST,Estonia,Northern Europe,0.25938076329685683,0.20236097974960449,0.2049773971897629,0.057019783547252345,0.054403366107093926,0,0,-0.0026164174401584195,primary
FIN,Finland,Northern Europe,0.2349856997144576,0.19799021373700276,0.2018796167142053,0.036995485977454834,0.03310608300025231,0,0,-0.0038894029772025274,primary
FRA,France,Western Europe,0.1916777527720347,0.17514642664108532,0.15898388895714302,0.016531326130949375,0.03269386381489167,0,0,0.016162537683942296,primary
DEU,Germany,Western Europe,0.19552600658812053,0.1767090270003484,0.1837213876121459,0.01881697958777212,0.011804618975974623,0,0,-0.007012360611797497,primary
GRC,Greece,Southern Europe,0.14163851313814882,0.17131841978785134,0.17130495039673743,0.02967990664970252,0.029666437258588613,0,0,-1.3469391113907214e-05,primary
HUN,Hungary,Eastern Europe,0.18683465599109378,0.23637762470464135,0.2263041614439335,0.049542968713547575,0.039469505452839726,0,0,-0.010073463260707849,primary
ISL,Iceland,Northern Europe,0.12736783367802937,0.2136271598820085,0.2449614429676491,0.08625932620397914,0.11759360928961973,1,0,0.031334283085640596,primary
IRL,Ireland,Northern Europe,0.1678618971108085,0.18834391911475276,0.1883708363351632,0.02048202200394425,0.020508939224354678,0,0,2.6917220410427323e-05,primary
ITA,Italy,Southern Europe,0.1823289325414157,0.1671566154445983,0.15321376423113597,0.015172317096817378,0.029115168310279715,0,0,0.013942851213462337,primary
LVA,Latvia,Northern Europe,0.2466163184774826,0.19581490543103588,0.19431874434033586,0.050801413046446725,0.05229757413714675,0,0,0.0014961610907000267,primary
LTU,Lithuania,Northern Europe,0.22162226701877433,0.19585592058018836,0.19524472209163632,0.02576634643858597,0.026377544927138008,0,0,0.0006111984885520394,primary
MKD,Macedonia,Southern Europe,0.16410994630244113,0.17575141532747215,0.17116225685750888,0.01164146902503102,0.007052310555067748,0,0,-0.004589158469963273,primary
