Country,warming_trend,cum_co2_per_capita,cum_co2_total,abs_latitude,elevation,continentality,climate_zone,hemisphere,spatial_block,income_group,population,station_density,fitted,residual,leverage,studentized,cooks_d,iso3,station_trend,people_trend,area_cell_coverage,n_cities,station_lon,station_lat,era5_trend,n_cells_15min,land_area_km2,centroid_lon,centroid_lat,abs_centroid_lat,lat_min,lat_max,lat_sd_area_weighted,coastal_cell_fraction,elev_mean_m,elev_sd_m,elev_p10_m,elev_p90_m,elev_max_m,elev_below_sea_fraction,koppen_classified_fraction,koppen_share_A,koppen_share_B,koppen_share_C,koppen_share_D,koppen_share_E,koppen_area_dominant,koppen_area_dominant_share,n_cells_1deg,n_cells_fit,cell_mean,cell_sd,cell_p10,cell_p90,cell_min,cell_max,cell_range,m49_subregion,m49_region,abs_residual,sq_share,era5_minus_berkeley,station_minus_area,station_lat_minus_centroid_lat,log10_land_area,koppen_modal_vs_area_mismatch,lisa_v1_local_i,lisa_v1_p,lisa_v1_quadrant,lisa_v1_label,lisa_area_label
Afghanistan,0.24733118,4.2230727,133.545,34.15875,1700.4435,980.02518,B,N,Asia,Low-income countries,31622709,0.5,0.21410936,0.033221813,0.15050085,1.1971902,0.012654305,AFG,0.25262887,0.25146545,1,8,68.17875,34.15875,0.2912535,1001,642217,65.9352,33.8038,33.8038,29.625,38.375,2.11048,0.0019653,1799.82,1093.74,576.971,3316.32,5650.34,0,1,0,0.676528,0.0245095,0.241766,0.0571965,B,0.676528,59,59,0.24733118,0.020366905,0.21547026,0.26940382,0.20206574,0.28236871,0.080302969,Southern Asia,Asia,0.033221813,0.0092636889,0.043922326,0.0052976939,0.35495,5.8076818,False,0.80000502,0.067,HH,ns,HH
Armenia,0.18833774,114.99025,336.062,40.99,1651.8125,274.36818,D,N,Asia,Upper-middle-income countries,2922526,3,0.17705889,0.011278844,0.14268068,0.40262823,0.0013576497,ARM,0.21072849,0.21072849,1,3,44.73,40.99,0.20556285,52,30627,44.9018,40.3393,40.3393,39.125,41.125,0.542331,0,1857.54,591.876,975.256,2602.02,3699.75,0,1,0,0.365707,0,0.634293,0,D,0.634293,2,2,0.18833774,0.0049111766,0.18339047,0.19321308,0.18339047,0.19321308,0.0098226165,Western Asia,Asia,0.011278844,0.0010677424,0.017225117,0.022390752,0.6507,4.4861045,False,-0.04308189,0.727,HL,ns,ns
Azerbaijan,0.19504825,234.4249,2228.072,40.99,715.4375,25.203602,D,N,Asia,Upper-middle-income countries,9504417,0,0.17886982,0.016178434,0.12262053,0.57125168,0.0022921332,AZE,0.23596216,0.23596216,1,1,48.99,40.99,0.21034418,162,95502.9,47.7522,40.2753,40.2753,38.625,41.875,0.755336,0.123387,777.249,754.826,36.2375,1907.23,3679.06,0.249657,1,0,0.692499,0.104706,0.190697,0.0120971,B,0.692499,11,11,0.19504825,0.0075179495,0.1855473,0.20457722,0.18296201,0.20481983,0.021857827,Western Asia,Asia,0.016178434,0.0021969,0.015295933,0.040913906,0.7147,4.9800166,True,0.12296688,0.555,HH,ns,ns
Bangladesh,0.11108862,6.3725254,997.505,24.072105,10.800667,167.45019,A,N,Asia,Lower-middle-income countries,156532134,7.9473684,0.14480448,-0.033715863,0.11657491,-1.191373,0.0093349673,BGD,0.055805733,0.05537539,0.92857143,19,89.766842,24.072105,0.13153199,215,152133,90.3473,23.6613,23.6613,20.875,26.375,1.24846,0.0754772,20.3727,37.3214,2.43227,46.8011,353.491,0.0863049,0.99527,0.856907,0,0.143093,0,0,A,0.856907,14,13,0.11108862,0.0074530787,0.10158105,0.12302284,0.10032207,0.12336386,0.023041792,Southern Asia,Asia,0.033715863,0.0095412629,0.020443371,-0.055282887,0.41080526,5.1822234,False,1.1387376,0.007,LL,LL,LL
Burma,0.10898679,8.3332043,418.849,18.803,209.83804,169.36276,A,N,Asia,Lower-middle-income countries,50262658,1.1,0.15117222,-0.04218543,0.079704197,-1.4645103,0.009207249,MMR,0.073190004,0.073052447,0.95384615,20,95.9935,18.803,0.19111736,1039,750701,96.5155,20.2825,20.2825,8.875,28.375,4.15168,0.0674919,558.452,584.228,17.1056,1306.03,4988.24,0.110576,0.960002,0.559001,0.0360301,0.401188,0,0.00378049,A,0.559001,65,62,0.10898679,0.0072797932,0.099079248,0.11878693,0.094938268,0.12789255,0.032954277,South-eastern Asia,Asia,0.04218543,0.014936962,0.082130573,-0.035796785,-1.4795,5.875467,False,1.3753873,0.008,LL,LL,LL
Cambodia,0.12397653,4.9768593,75.5,12.05,17.388128,198.32515,A,N,Asia,Lower-middle-income countries,15170210,0,0.14212097,-0.018144445,0.089400746,-0.62904297,0.001951428,KHM,0.077152696,0.077152696,1,1,105.21,12.05,0.1958048,255,192290,104.793,12.5817,12.5817,9.875,14.375,1.07751,0.0434604,118.902,176.88,7.36855,301.734,1306.52,0.0657952,0.972339,1,0,0,0,0,A,1,15,15,0.12397653,0.003823753,0.11903222,0.13112934,0.11737147,0.13134956,0.01397809,South-eastern Asia,Asia,0.018144445,0.0027632785,0.071828269,-0.046823834,-0.5317,5.2839567,False,0.2688855,0.224,LL,ns,ns
China,0.18801127,120.44216,166090.71,33.824579,452.54374,460.24653,C,N,Asia,Upper-middle-income countries,1379008040,3.6236842,0.16884089,0.019170382,0.14097669,0.68446265,0.0038599134,CHN,0.14149349,0.1162964,0.99793388,380,114.86339,33.824579,0.21966028,15503,9562000,103.71,36.5612,36.5612,15.875,53.375,7.15184,0.0142002,1833.28,1745.24,107.474,4803,7268.4,0.0171293,0.994566,0.00475823,0.333868,0.264989,0.228214,0.168172,B,0.333868,968,966,0.18801127,0.059242828,0.11067555,0.26672027,0.091316025,0.30028967,0.20897364,Eastern Asia,Asia,0.019170382,0.0030845998,0.031649004,-0.046517782,-2.7366211,6.9805487,True,-0.29905728,0.217,HL,ns,HL
Georgia,0.17014653,143.39135,546.196,40.99,1651.8125,274.36818,D,N,Asia,Upper-middle-income countries,3809128,3,0.17890501,-0.0087584796,0.13581583,-0.31133486,0.00076696201,GEO,0.21072849,0.21072849,1,1,44.73,40.99,0.16872036,128,73255.5,43.3985,42.2201,42.2201,41.125,43.375,0.577787,0.0776471,1211.16,841.003,146.015,2366.36,3993.31,0.0677083,0.992269,0,0.0638516,0.259508,0.614439,0.0622007,D,0.614439,9,9,0.17014653,0.010245817,0.15020906,0.18250361,0.15020906,0.18250361,0.032294551,Western Asia,Asia,0.0087584796,0.00064386491,-0.0014261677,0.040581957,-1.2301,4.8648402,False,0.0056517679,0.971,LL,ns,ns
India,0.12279875,28.95606,37522.117,22.254859,241.76154,426.4417,A,N,Asia,Lower-middle-income countries,1295829507,7.2941176,0.16750678,-0.044708029,0.11756218,-1.587274,0.016590101,IND,0.10273233,0.092981771,0.98976109,391,79.674859,22.254859,0.15878888,4660,3309140,79.6412,22.4312,22.4312,6.875,35.375,5.75268,0.0493537,557.964,941.08,48.8481,977.446,7081.71,0.0439199,0.987515,0.393482,0.305282,0.265874,0.00558737,0.0297743,A,0.393482,293,290,0.12279875,0.013132659,0.10609406,0.1414523,0.099939038,0.16823696,0.06829792,Southern Asia,Asia,0.044708029,0.01677677,0.035990131,-0.020066416,-0.17634066,6.5197151,False,0.21311632,0.715,LL,ns,ns
Indonesia,0.13659946,40.611573,10390.571,5.8577241,119.28682,35.708766,A,S,Asia,Upper-middle-income countries,255852464,12.931034,0.093343623,0.043255841,0.23149284,1.646814,0.040319008,IDN,0.10941618,0.11169397,0.89256198,145,109.20559,-5.226,0.16850609,3807,2933690,117.815,-2.49238,2.49238,-11.125,6.125,3.52434,0.346664,322.097,518.149,6.03981,967.341,4482.01,0.339813,0.877143,0.984418,0,0.0155822,0,0,A,0.984418,242,216,0.13659946,0.011639796,0.11954118,0.15308288,0.10833345,0.15782381,0.049490359,South-eastern Asia,Asia,0.043255841,0.015704598,0.031906624,-0.027183282,3.3653441,6.4674142,False,-0.84045408,0.124,HL,ns,ns
Iran,0.25326599,173.06499,13916.967,34.342576,1447.1701,245.46142,B,N,Asia,Upper-middle-income countries,80414689,1.7727273,0.19059381,0.062672179,0.12212093,2.2522133,0.034217551,IRN,0.28330794,0.28335191,1,66,51.126667,34.342576,0.33036354,2567,1670410,54.4437,32.4183,32.4183,25.125,39.625,3.50513,0.0348532,1259.39,682.518,365.938,2155.37,4253.21,0.0350171,0.99216,0,0.891958,0.0472919,0.0607505,0,B,0.891958,161,161,0.25326599,0.025071517,0.21660414,0.28283246,0.18866267,0.28834183,0.099679161,Southern Asia,Asia,0.062672179,0.032967567,0.077097547,0.030041952,1.9242758,6.2228231,False,1.0874646,0.174,HH,ns,HH
Iraq,0.17633491,94.318838,3327.756,35.365,289.85493,493.08067,C,N,Asia,Upper-middle-income countries,35281987,1.5,0.16923669,0.0070982205,0.10029468,0.24725311,0.000343206,IRQ,0.21489013,0.21271077,1,4,44.07,35.365,0.37446829,688,445684,43.7714,32.9564,32.9564,29.125,37.125,2.01404,0,296.005,297.245,13.3372,699.644,2842.39,0.000968992,1,0,0.878181,0.100947,0.0208723,0,B,0.878181,44,44,0.17633491,0.017910308,0.15431169,0.19883994,0.13685232,0.21141289,0.074560576,Western Asia,Asia,0.0070982205,0.00042289863,0.19813337,0.038555214,2.4086,5.649027,True,-0.071036575,0.422,HL,ns,ns
Israel,0.12897303,252.53063,1956.953,32.061111,476.33344,40.749691,B,N,Asia,High-income countries,7749369,4.4444444,0.19000286,-0.061029833,0.096999821,-2.1591836,0.024358932,ISR,0.15380232,0.15414483,1,9,34.805556,32.061111,0.20868425,39,25667.6,34.9868,31.5832,31.5832,29.875,33.125,0.975254,0.152347,325.486,236.802,47.2172,643.099,1005.31,0.185185,1,0,0.543035,0.456965,0,0,B,0.543035,2,2,0.12897303,0.0015273749,0.12745364,0.13050843,0.12745364,0.13050843,0.0030547917,Western Asia,Asia,0.061029833,0.031262354,0.079711225,0.024829292,0.47791111,4.4093853,False,2.0278496,0.007,LL,LL,LL
Japan,0.13484212,449.6652,57432.877,35.745829,168.62459,82.643142,C,N,Asia,High-income countries,127723642,29.954286,0.13143356,0.0034085558,0.47215536,0.1549879,0.0010824108,JPN,0.11269138,0.11075744,0.90163934,175,137.46834,35.745829,0.18477479,1009,625313,136.269,36.2262,36.2262,24.125,45.625,4.80373,0.35332,379.97,387.482,21.4127,883.834,2624.78,0.386191,0.868041,0.00906451,0,0.565414,0.425521,0,C,0.565414,61,55,0.13484212,0.011859754,0.12068724,0.15299747,0.11951687,0.15478414,0.035267269,Eastern Asia,Asia,0.0034085558,9.7516502e-05,0.049932673,-0.022150738,-0.48037143,5.7960975,False,-0.031679787,0.455,HL,ns,ns
Jordan,0.12416227,66.296104,529.826,32.95,941.89685,32.376227,C,N,Asia,Lower-middle-income countries,7991812,7,0.13888098,-0.014718706,0.11996193,-0.51881003,0.0018448387,JOR,0.15419934,0.15419934,1,1,35.43,32.95,0.25689893,131,86512.9,36.743,31.2629,31.2629,29.375,33.125,1.03032,0,794.402,209.283,588.884,994.788,1615.32,0.0390161,1,0,0.954736,0.0452636,0,0,B,0.954736,9,9,0.12416227,0.0027251259,0.12129527,0.13034125,0.12129527,0.13034125,0.0090459743,Western Asia,Asia,0.014718706,0.0018183462,0.13273666,0.030037069,1.6871,4.9370809,True,0.59705011,0.002,LL,LL,LL
Kazakhstan,0.26071793,667.32878,11715.959,48.915333,484.86506,1283.3288,B,N,Asia,Upper-middle-income countries,17556502,0.26666667,0.25922175,0.0014961793,0.19644992,0.055134391,3.7443105e-05,KAZ,0.25991169,0.24883742,0.98795181,15,69.089333,48.915333,0.32141095,5331,2745640,67.0244,48.3449,48.3449,40.625,55.375,3.06056,0.00914564,379.844,417.261,76.8908,739.442,4309.89,0.0675921,1,0,0.923373,0.000634418,0.069435,0.00655778,B,0.923373,332,328,0.26071793,0.016119742,0.2390522,0.28277206,0.22423865,0.29699752,0.072758875,Central Asia,Asia,0.0014961793,1.8789041e-05,0.060693022,-0.00080624233,0.57043333,6.4386436,False,0.043248486,0.017,HH,HH,HH
Laos,0.11990553,6.5576275,43.355,18.48,466.83899,277.2988,A,N,Asia,Lower-middle-income countries,6611385,0,0.152767,-0.032861469,0.08915228,-1.1430785,0.0063796002,LAO,0.05769678,0.05769678,1,1,103.1,18.48,0.15719335,316,231391,103.771,18.5079,18.5079,14.125,22.375,2.09414,0,648.131,385.359,165.527,1173.26,2150,0,1,0.592359,0,0.407641,0,0,A,0.592359,20,20,0.11990553,0.0030943401,0.11519604,0.1235479,0.11405942,0.12413293,0.010073512,South-eastern Asia,Asia,0.032861469,0.0090638198,0.037287817,-0.062208749,-0.0279,5.3643465,False,0.93930313,0.025,LL,LL,ns
