Country,warming_trend,cum_co2_per_capita,cum_co2_total,abs_latitude,elevation,continentality,climate_zone,hemisphere,spatial_block,income_group,population,station_density,fitted,residual,leverage,studentized,cooks_d,iso3,station_trend,people_trend,area_cell_coverage,n_cities,station_lon,station_lat,era5_trend,n_cells_15min,land_area_km2,centroid_lon,centroid_lat,abs_centroid_lat,lat_min,lat_max,lat_sd_area_weighted,coastal_cell_fraction,elev_mean_m,elev_sd_m,elev_p10_m,elev_p90_m,elev_max_m,elev_below_sea_fraction,koppen_classified_fraction,koppen_share_A,koppen_share_B,koppen_share_C,koppen_share_D,koppen_share_E,koppen_area_dominant,koppen_area_dominant_share,n_cells_1deg,n_cells_fit,cell_mean,cell_sd,cell_p10,cell_p90,cell_min,cell_max,cell_range,m49_subregion,m49_region,abs_residual,sq_share,era5_minus_berkeley,station_minus_area,station_lat_minus_centroid_lat,log10_land_area,koppen_modal_vs_area_mismatch,lisa_v1_local_i,lisa_v1_p,lisa_v1_quadrant,lisa_v1_label,lisa_area_label
Lebanon,0.13240722,95.770985,550.055,34.023333,-872.99272,59.931175,C,N,Asia,Lower-middle-income countries,5743441,3.6666667,0.15005625,-0.017649028,0.18832763,-0.64814373,0.0048952259,LBN,0.15261998,0.15419934,1,3,35.163333,34.023333,0.21840828,20,12826,35.7727,33.9111,33.9111,33.125,34.625,0.405396,0.250111,962.129,631.825,185.09,1834.26,2867.26,0.227778,1,0,0,1,0,0,C,1,1,1,0.13240722,0,0.13240722,0.13240722,0.13240722,0.13240722,0,Western Asia,Asia,0.017649028,0.0026144414,0.086001062,0.020212761,0.11223333,4.1080912,False,0.70772248,0.002,LL,LL,LL
Malaysia,0.14354714,137.71485,4155.445,3.6175,61.48887,33.4345,A,N,Asia,Upper-middle-income countries,30174269,2.9375,0.13980504,0.0037421017,0.11541312,0.13143606,0.00011354918,MYS,0.10612811,0.110003,1,32,105.10219,3.6175,0.18143639,542,417719,109.772,3.92443,3.92443,1.125,7.375,1.54526,0.188102,262.252,337.643,6.68284,747.772,2981.99,0.196187,0.953932,1,0,0,0,0,A,1,33,33,0.14354714,0.003878384,0.13708479,0.14799081,0.13490805,0.15148088,0.016572831,South-eastern Asia,Asia,0.0037421017,0.00011753535,0.037889247,-0.037419034,-0.30693,5.6208842,False,-0.049282987,0.262,HL,ns,ns
Mongolia,0.27329207,157.28884,448.57,47.42,1629.5566,1247.7869,B,N,Asia,Upper-middle-income countries,2851887,0,0.24371054,0.029581527,0.20952407,1.1041896,0.016131562,MNG,0.29479919,0.29479919,1,1,107.76,47.42,0.21866502,2958,1562350,103.14,46.9741,46.9741,41.875,51.875,2.21916,0,1487.52,537.221,894.185,2291.77,3778.05,0,1,0,0.713375,0,0.252834,0.0337912,B,0.713375,183,183,0.27329207,0.012205028,0.25556173,0.29054299,0.24293946,0.29905688,0.056117414,Eastern Asia,Asia,0.029581527,0.0073447749,-0.054627041,0.021507129,0.4459,6.1937783,False,-0.34980948,0.323,HL,ns,ns
Nepal,0.12394104,2.9884382,82.451,27.44,572.19137,675.65411,C,N,Asia,Lower-middle-income countries,27589997,4.1428571,0.14485339,-0.020912349,0.18015181,-0.76462911,0.0064440067,NPL,0.087288905,0.084092177,1,7,85.414286,27.44,0.22718415,211,143584,83.9789,28.2808,28.2808,26.625,30.375,0.946914,0,2001.63,1714.41,146.39,4806.75,6727.85,0,1,0,0,0.759985,0,0.240015,C,0.759985,14,14,0.12394104,0.0028811013,0.12055574,0.12780803,0.11922299,0.12876876,0.009545767,Southern Asia,Asia,0.020912349,0.0036706497,0.10324311,-0.036652134,-0.8408,5.157106,False,0.28269315,0.274,LL,ns,ns
Oman,0.20346603,228.65035,876.626,16.87,809.66339,15.503326,B,N,Asia,High-income countries,3833915,0,0.17856138,0.024904652,0.13039291,0.88483673,0.0058795949,OMN,0.20999677,0.20999677,1,1,53.58,16.87,0.21086906,493,356363,56.1904,20.5708,20.5708,16.625,26.625,2.2082,0.133607,276.034,260.77,74.9986,611.313,2526.26,0.119901,0.971648,0,1,0,0,0,B,1,31,31,0.20346603,0.010794376,0.19268688,0.2170527,0.18995945,0.23660769,0.046648245,Western Asia,Asia,0.024904652,0.0052059293,0.0074030308,0.0065307409,-3.7008,5.5518926,False,0.40153465,0.199,HH,ns,HH
Pakistan,0.17994962,17.166469,3623.395,30.529153,270.0815,782.42921,B,N,Asia,Lower-middle-income countries,211073979,6.5084746,0.19185618,-0.011906558,0.12792072,-0.42144902,0.0013109315,PAK,0.18378282,0.18208114,1,59,71.674746,30.529153,0.18016101,1340,896256,69.1417,29.8198,29.8198,23.875,36.875,3.34071,0.0226665,1002.58,1285.64,49.1226,3084.97,7525.56,0.0194859,0.999212,0,0.867635,0.050875,0.0178389,0.0636509,B,0.867635,84,84,0.17994962,0.027088988,0.146983,0.21925938,0.14051069,0.2537875,0.11327681,Southern Asia,Asia,0.011906558,0.001189898,0.0002113857,0.0038331993,0.70935254,5.9524321,False,-0.14775819,0.322,LH,ns,LH
Philippines,0.16029541,24.273217,2477.721,12.598308,-299.6931,31.710189,A,N,Asia,Lower-middle-income countries,102076334,9.6923077,0.13287445,0.027420952,0.093952184,0.95491589,0.0047309493,PHL,0.070454195,0.0680637,0.91489362,65,122.14554,12.598308,0.12914708,816,616988,122.526,11.3068,11.3068,4.625,21.125,3.65211,0.403465,310.467,372.108,12.5103,832.313,2375.96,0.508306,0.867475,1,0,0,0,0,A,1,47,43,0.16029541,0.007022282,0.150288,0.17064582,0.14587209,0.17344167,0.027569575,South-eastern Asia,Asia,0.027420952,0.0063110607,-0.031148328,-0.089841211,1.2915077,5.7902767,False,-0.23478368,0.489,HL,ns,ns
Qatar,0.23147879,710.48828,1444.174,24.92,12.518511,6.4791881,B,N,Asia,High-income countries,2032650,0,0.19422564,0.037253147,0.12102203,1.3213297,0.01195124,QAT,0.26122932,0.26122932,1,1,51.43,24.92,0.20447277,25,17453.4,51.2251,25.3837,25.3837,24.625,26.125,0.438674,0.319361,24.941,17.2555,3.99856,49.4155,71.5584,0.324444,0.959831,0,1,0,0,0,B,1,2,2,0.23147879,0.0013564832,0.2301223,0.23283527,0.2301223,0.23283527,0.0027129665,Western Asia,Asia,0.037253147,0.011648319,-0.027006017,0.029750535,-0.4637,4.24188,False,0.93910073,0.044,HH,HH,ns
Saudi Arabia,0.19128856,420.27411,11778.949,22.617143,1105.9072,193.68551,B,N,Asia,High-income countries,28026825,0,0.19848877,-0.0072002131,0.12874248,-0.25487127,0.00048339048,SAU,0.18613535,0.19473504,0.98870056,7,41.935714,22.617143,0.42249775,2826,1990640,44.495,23.9847,23.9847,16.125,32.125,3.65074,0.0293905,642.093,398.886,124.149,1079.43,2691.54,0.0397499,0.98398,0,1,0,0,0,B,1,177,175,0.19128856,0.029084844,0.14432871,0.2219874,0.1225172,0.22885116,0.10633395,Western Asia,Asia,0.0072002131,0.000435139,0.23120919,-0.0051532118,-1.3675571,6.2989927,False,0.044387012,0.643,LL,ns,ns
South Korea,0.14512934,276.44326,13841.837,37.78,3.9714112,0.10270069,D,N,Asia,High-income countries,50071168,0,0.19262534,-0.047495997,0.17358126,-1.7459439,0.031520647,KOR,0.1655223,0.1655223,0.875,1,126.1,37.78,0.15514499,250,156276,127.444,35.9761,35.9761,33.125,38.375,1.2711,0.225413,245.711,241.988,15.995,588.649,1360.04,0.347111,0.842984,0,0,0.299401,0.700599,0,D,0.700599,16,14,0.14512934,0.0040488087,0.14004678,0.1510077,0.13970425,0.15280724,0.013102992,Eastern Asia,Asia,0.047495997,0.01893439,0.010015645,0.020392958,1.8039,5.1938923,False,0.058402621,0.922,LL,ns,ns
Sri Lanka,0.13450143,16.211703,346.263,7.7666667,-320.55742,46.694284,A,N,Asia,Lower-middle-income countries,21358829,2.4444444,0.13592018,-0.0014187523,0.083453236,-0.048952357,1.099324e-05,LKA,0.11958271,0.12139819,1,9,80.63,7.7666667,0.1443275,121,92631.9,80.6488,7.76106,7.76106,5.875,9.875,1.07722,0.297483,166.739,299.494,7.6511,398.237,2209.31,0.273646,0.933991,1,0,0,0,0,A,1,7,7,0.13450143,0.0047740725,0.12689747,0.14097416,0.12689747,0.14097416,0.014076682,Southern Asia,Asia,0.0014187523,1.68947e-05,0.0098260694,-0.014918719,0.0056066667,4.9667606,False,0.053338158,0.005,LL,LL,LL
Syria,0.14323535,78.516371,1701.208,34.56,177.92983,93.425359,B,N,Asia,Low-income countries,21666921,3,0.19437838,-0.05114303,0.20151897,-1.9171162,0.045450455,SYR,0.14657491,0.15137697,1,7,36.372857,34.56,0.19028968,299,189155,38.4516,35.028,35.028,32.375,37.125,1.15315,0.0200172,521.011,273.163,256.927,822.853,2313.53,0.0163508,1,0,0.765131,0.234869,0,0,B,0.765131,21,21,0.14323535,0.0096031838,0.13109495,0.15558531,0.125247,0.16630661,0.04105961,Western Asia,Asia,0.05114303,0.021953826,0.047054328,0.0033395647,-0.468,5.2768178,False,1.4768992,0.017,LL,LL,ns
Taiwan,0.13706412,301.24252,7054.157,24.490667,-341.69997,36.426213,C,N,Asia,High-income countries,23416870,9.8666667,0.14707565,-0.010011529,0.12816932,-0.35435151,0.00092917859,TWN,0.10413579,0.099648224,0.75,30,120.88433,24.490667,0.14379418,99,69987.1,120.776,23.7896,23.7896,20.625,26.375,1.10699,0.525564,743.691,803.63,10.7985,2003.59,3172.87,0.47587,0.757321,0.107759,0,0.892241,0,0,C,0.892241,8,6,0.13706412,0.0024682649,0.13396481,0.14044791,0.13396481,0.14044791,0.006483096,Eastern Asia,Asia,0.010011529,0.00084127521,0.0067300622,-0.032928329,0.70106667,4.845018,False,0.17081842,0.152,LL,ns,ns
Tajikistan,0.2339755,52.071547,427.858,40.185,1916.3934,1250.1801,D,N,Asia,Lower-middle-income countries,8216733,1,0.22055747,0.013418028,0.19447685,0.49430815,0.0029666607,TJK,0.24345196,0.23811976,1,2,69.485,40.185,0.21634278,233,140862,71.0332,38.5232,38.5232,36.875,40.875,0.873195,0,2906.69,1549.04,572.598,4706.3,6167.8,0,1,0,0.347787,0.00416382,0.247447,0.400602,E,0.400602,15,15,0.2339755,0.013117061,0.21151086,0.25354125,0.21137385,0.25870215,0.0473283,Central Asia,Asia,0.013418028,0.0015111748,-0.017632723,0.0094764567,1.6618,5.1487939,True,0.47176752,0.005,HH,HH,ns
Thailand,0.11983102,75.553261,5277.026,13.889048,147.38664,141.82547,A,N,Asia,Upper-middle-income countries,69845112,2.5714286,0.15270203,-0.032871006,0.083369341,-1.1397649,0.0058941641,THA,0.085157837,0.085057556,0.95833333,21,100.76286,13.889048,0.20061657,773,577150,100.884,14.4471,14.4471,5.875,20.375,3.6923,0.0896848,276.104,280.835,18.6919,698.861,1845.7,0.0981745,0.965625,1,0,0,0,0,A,1,48,46,0.11983102,0.0099959566,0.11177867,0.14131561,0.10958983,0.14468939,0.035099553,South-eastern Asia,Asia,0.032871006,0.0090690816,0.080785552,-0.034673185,-0.55805238,5.7612887,False,0.89477837,0.024,LL,LL,LL
Turkey,0.14196233,106.6545,8148.727,38.911176,758.01359,128.00623,C,N,Asia,Upper-middle-income countries,76403032,1.372549,0.1597524,-0.017790072,0.11401298,-0.62525389,0.0025271651,TUR,0.13166001,0.13276954,1,51,33.688824,38.911176,0.16666165,1402,840726,34.876,39.1579,39.1579,36.125,42.125,1.46973,0.0742997,1133.23,649.439,222.455,2017.52,3703.36,0.0715644,0.992371,0,0.234755,0.404987,0.360259,0,C,0.404987,86,86,0.14196233,0.014659824,0.12760292,0.16803845,0.12323571,0.18332576,0.060090048,Western Asia,Asia,0.017790072,0.0026563955,0.024699318,-0.01030232,-0.24672353,5.9246545,False,0.58704915,0.012,LL,LL,LL
Turkmenistan,0.27528704,325.63271,1934.046,39.383333,175.64476,570.21712,B,N,Asia,Upper-middle-income countries,5939348,0.66666667,0.2130193,0.062267739,0.091304233,2.1974228,0.023569953,TKM,0.31152328,0.3050051,0.98076923,3,61.043333,39.383333,0.29896594,831,497411,59.1132,39.2207,39.2207,35.375,42.625,1.61488,0.0289316,219.808,218.418,56.5385,466.189,2443.85,0.109908,1,0,0.979906,0.0200938,0,0,B,0.979906,52,51,0.27528704,0.014355346,0.25573196,0.28959425,0.23428012,0.29151841,0.057238285,Central Asia,Asia,0.062267739,0.032543444,0.023678895,0.036236235,0.16263333,5.6967154,False,1.5760868,0.036,HH,HH,HH
United Arab Emirates,0.22483082,444.99761,3485.155,24.92,7.8743529,10.093385,B,N,Asia,High-income countries,7831851,2,0.18948,0.035350827,0.096813083,1.2359123,0.0081537339,ARE,0.26674103,0.26674103,1,3,54.98,24.92,0.24954088,153,107935,53.9508,24.0799,24.0799,22.625,25.875,0.791318,0.201285,112.107,110.111,15.1169,166.062,1364.7,0.242556,0.863482,0,1,0,0,0,B,1,8,8,0.22483082,0.0036044311,0.2180957,0.23088636,0.2180957,0.23088636,0.012790665,Western Asia,Asia,0.035350827,0.010489057,0.024710058,0.04191021,0.8401,5.0331623,False,1.4333503,0.002,HH,HH,HH
Uzbekistan,0.27739224,184.97719,5498.274,40.38625,816.1821,1235.4773,B,N,Asia,Lower-middle-income countries,29724065,0.875,0.24398207,0.033410168,0.18645723,1.2306769,0.017288384,UZB,0.26438952,0.24493046,0.97916667,8,67.82375,40.38625,0.28297463,778,448359,63.3379,41.763,41.763,37.375,45.375,1.82634,0,356.149,494.494,57.6904,755.551,3901.1,0.000714082,1,0,0.933178,0.0315203,0.0340234,0.00127833,B,0.933178,48,47,0.27739224,0.015843329,0.25131109,0.29384435,0.24040983,0.29710995,0.056700117,Central Asia,Asia,0.033410168,0.0093690302,0.0055823846,-0.013002726,-1.37675,5.6516259,False,1.0688571,0.012,HH,HH,HH
Vietnam,0.12263258,27.75834,2514.159,14.572667,290.39423,62.632906,A,N,Asia,Lower-middle-income countries,90573103,2.4333333,0.14895815,-0.02632557,0.080736767,-0.90986426,0.0036402044,VNM,0.067168538,0.073009553,0.97222222,30,106.81,14.572667,0.14077012,538,398007,106.488,16.051,16.051,8.625,23.125,4.6672,0.163685,383.868,411.818,2.44096,976.442,2638.53,0.154275,0.949179,0.616518,0,0.383482,0,0,A,0.616518,36,35,0.12263258,0.0059870272,0.11467542,0.13006324,0.10776286,0.13865869,0.030895834,South-eastern Asia,Asia,0.02632557,0.0058169173,0.018137536,-0.055464045,-1.4783333,5.5998907,False,0.57816116,0.083,LL,ns,ns
Yemen,0.20150003,19.538528,572.732,13.66,1076.9957,51.316985,B,N,Asia,Low-income countries,29312955,0,0.16578326,0.035716768,0.19271286,1.3218977,0.020738509,YEM,0.20005509,0.19816525,1,2,44.585,13.66,0.37432704,679,504925,47.5376,15.7204,15.7204,12.125,18.875,1.53787,0.10996,932.982,563.258,271.498,1760.02,3086.89,0.105056,0.964342,0,1,0,0,0,B,1,45,45,0.20150003,0.0057133258,0.19448458,0.20952763,0.18798897,0.21206839,0.024079414,Western Asia,Asia,0.035716768,0.01070734,0.17282701,-0.0014449363,-2.0604,5.7032269,False,0.10097817,0.819,HH,ns,ns
Albania,0.15748303,87.274223,253.756,40.99,-91.5625,15.220796,C,N,Europe,Upper-middle-income countries,2907571,2,0.14275964,0.014723387,0.13916781,0.52474497,0.0022381845,ALB,0.12435178,0.12435178,1,3,19.17,40.99,0.11414274,57,33208.6,19.9731,41.0561,41.0561,39.625,42.375,0.734368,0.123164,639.115,490.858,49.0826,1308.58,2047.37,0.179337,1,0,0,0.63393,0.36607,0,C,0.63393,3,3,0.15748303,0.0022354837,0.15506744,0.16047247,0.15506744,0.16047247,0.0054050294,Southern Europe,Europe,0.014723387,0.0018195031,-0.043340295,-0.033131255,-0.0661,4.5212506,False,-0.11384169,0.519,HL,ns,ns
Austria,0.21029968,594.84713,5045.143,48.064,997.88975,307.41682,D,N,Europe,High-income countries,8481411,0.8,0.20867349,0.0016261829,0.055708219,0.055279197,9.0828943e-06,AUT,0.20946728,0.20997806,1,5,14.182,48.064,0.28297245,161,83914.3,14.0723,47.5919,47.5919,46.625,48.875,0.591224,0,964.214,649.387,272.852,1957.62,3241.82,0,1,0,0,0,0.949815,0.0501853,D,0.949815,8,8,0.21029968,0.0088139921,0.19350482,0.21982662,0.19350482,0.21982662,0.026321804,Western Europe,Europe,0.0016261829,2.2196071e-05,0.072672778,-0.00083239645,0.4721,4.923836,False,-0.019333073,0.33,HL,ns,ns
Belarus,0.21395039,478.74626,4531.072,52.84,149.20576,505.97112,D,N,Europe,Upper-middle-income countries,9464454,0.5,0.20707686,0.0068735389,0.085257195,0.23744629,0.00026465033,BLR,0.22707365,0.2039758,1,8,27.47875,52.84,0.28149353,450,206604,28.0473,53.5301,53.5301,51.625,56.125,1.13308,0,160.068,28.4467,130.481,197.019,310.025,0,1,0,0,0,1,0,D,1,29,29,0.21395039,0.024410282,0.18001619,0.2449187,0.1650491,0.2565969,0.091547801,Eastern Europe,Europe,0.0068735389,0.00039655014,0.067543137,0.013123259,-0.6901,5.3151387,False,-0.057411022,0.506,HL,ns,ns
Belgium,0.19516368,1062.9992,11863.366,50.63,115.06332,107.65064,C,N,Europe,High-income countries,11160277,7.8571429,0.18009767,0.015066011,0.081054956,0.51969016,0.0011977761,BEL,0.18855418,0.18854047,1,7,4.1628571,50.63,0.22300083,65,31825.5,4.61783,50.6819,50.6819,49.625,51.375,0.45179,0.0455536,151.524,152.87,8.25052,406.764,665.799,0.0358974,1,0,0,0.984514,0.0154858,0,C,0.984514,4,4,0.19516368,0.0035068955,0.19065857,0.19936515,0.19065857,0.19936515,0.0087065841,Western Europe,Europe,0.015066011,0.0019051706,0.027837145,-0.006609504,-0.0519,4.5027752,False,0.03839291,0.841,HH,ns,ns
Bosnia And Herzegovina,0.18440933,226.20419,816.791,43.878,304.6292,117.31796,D,N,Europe,Upper-middle-income countries,3610857,2.4,0.1719022,0.012507136,0.080855734,0.43123774,0.00082307196,BIH,0.16937941,0.17551015,1,5,17.802,43.878,0.24768768,93,51566.4,17.8143,44.1433,44.1433,42.625,45.125,0.621861,0,699.853,409.801,192.474,1259.55,1988.19,0.00597372,1,0,0,0.172681,0.827319,0,D,0.827319,5,5,0.18440933,0.0078645689,0.1750397,0.19459074,0.1750397,0.19459074,0.01955104,Southern Europe,Europe,0.012507136,0.0013129647,0.063278352,-0.015029921,-0.2653,4.7123668,False,0.014006061,0.941,HH,ns,ns
Bulgaria,0.16411393,484.59923,3520.422,43.05,180.59325,161.43914,D,N,Europe,High-income countries,7264605,1.1428571,0.1956746,-0.031560667,0.052695843,-1.0758872,0.0032156474,BGR,0.14809745,0.1471343,1,7,26.047143,43.05,0.15698455,205,116274,25.3575,42.7784,42.7784,41.375,44.125,0.702055,0.0389233,477.426,430.889,108.237,1110.23,2615.37,0.0373984,0.99024,0,0.0780317,0.293334,0.628634,0,D,0.628634,16,16,0.16411393,0.00485,0.15803856,0.16850866,0.15043069,0.17072179,0.020291095,Eastern Europe,Europe,0.031560667,0.0083604498,-0.0071293844,-0.016016486,0.2716,5.0654826,False,0.58832926,0.158,LL,ns,ns
Croatia,0.18952185,232.922,988.149,45.273333,269.52438,63.022863,D,N,Europe,High-income countries,4242403,1.3333333,0.18792229,0.0015995655,0.055481259,0.05436783,8.7479805e-06,HRV,0.20881496,0.21811015,0.9,3,15.216667,45.273333,0.19134748,150,82560.2,16.2001,44.5583,44.5583,42.125,46.375,1.09697,0.183615,295.078,277.682,83.6637,749.893,1468.04,0.331111,0.911116,0,0,0.558894,0.441106,0,C,0.558894,10,9,0.18952185,0.014051194,0.1590351,0.20744252,0.1590351,0.20744252,0.048407424,Southern Europe,Europe,0.0015995655,2.1475404e-05,0.0018256303,0.019293104,0.71503333,4.9167707,True,-0.0079594973,0.699,HL,ns,ns
Cyprus,0.14075176,205.0783,242.792,34.56,-110.875,5.2128946,C,N,Europe,High-income countries,1183899,0,0.15815958,-0.017407816,0.11460522,-0.61198509,0.0024355535,CYP,0.15385654,0.15385654,1,1,33.08,34.56,0.15784352,31,19602.9,33.3803,35.0852,35.0852,34.625,35.625,0.305116,0.677279,290.502,293.142,31.9548,713.037,1501.08,0.530466,0.935615,0,0.206767,0.793233,0,0,C,0.793233,2,2,0.14075176,0.00047844923,0.14027623,0.14123314,0.14027623,0.14123314,0.00095691633,Western Asia,Asia,0.017407816,0.0025434657,0.017091756,0.01310478,-0.5252,4.2923203,False,0.69871515,0.001,LL,LL,LL
Czech Republic,0.19293607,1071.1163,11258.679,49.99,264.70065,412.23788,D,N,Europe,High-income countries,10511164,4.8,0.21300354,-0.020067476,0.059934532,-0.68491425,0.001501499,CZE,0.19915892,0.19924364,1,5,16.234,49.99,0.21490957,160,79916.2,15.3396,49.7355,49.7355,48.625,50.875,0.547117,0,448.633,177.517,229.812,675.957,1123.08,0,1,0,0,0,1,0,D,1,11,11,0.19293607,0.0085510174,0.18310883,0.20435178,0.17410877,0.20450412,0.030395348,Eastern Europe,Europe,0.020067476,0.0033800476,0.021973501,0.0062228541,0.2545,4.9026348,False,0.14151888,0.559,LL,ns,ns
Denmark,0.19194038,684.84629,3845.64,56.25,14.889735,13.150004,C,N,Europe,High-income countries,5615333,1,0.1900161,0.0019242868,0.093202118,0.0667517,2.3074006e-05,DNK,0.20878135,0.21011534,0.91666667,4,10.835,56.25,0.25933246,178,77045.4,10.4403,55.9258,55.9258,54.625,57.875,0.798953,0.296147,30.5387,24.0553,3.47182,63.4994,134.566,0.422597,0.911256,0,0,0.546123,0.453877,0,C,0.546123,12,11,0.19194038,0.0042905984,0.18765527,0.19695549,0.18359905,0.19741313,0.013814085,Northern Europe,Europe,0.0019242868,3.1079708e-05,0.067392077,0.016840965,0.3242,4.8867467,False,0.0079815858,0.764,HH,ns,ns
Estonia,0.25938076,1152.6845,1519.146,58.66,29.868961,61.187135,D,N,Europe,High-income countries,1317920,0,0.21398615,0.045394609,0.064988345,1.5652746,0.0084214836,EST,0.25159429,0.2484541,1,2,26.155,58.66,0.3053342,158,63413.1,25.0451,58.7109,58.7109,57.625,59.875,0.54663,0.220183,54.0941,37.3878,11.788,95.9282,247.475,0.270042,0.918799,0,0,0,1,0,D,1,9,9,0.25938076,0.0030523874,0.25259962,0.26182746,0.25259962,0.26182746,0.0092278442,Northern Europe,Europe,0.045394609,0.017296008,0.045953438,-0.0077864752,-0.0509,4.802179,False,0.47518185,0.391,HH,ns,ns
Finland,0.2349857,529.39765,2879.424,61.556,19.034535,16.945009,D,N,Europe,High-income countries,5439057,0.4,0.21103689,0.023948815,0.069780493,0.82235306,0.002542786,FIN,0.23993901,0.2458855,1,5,24.314,61.556,0.23472169,1072,358563,25.9369,64.0719,64.0719,59.875,69.875,2.66556,0.0536314,151.053,98.458,48.6087,282.809,1019.06,0.0647803,0.984527,0,0,0,0.99844,0.00156006,D,0.99844,67,67,0.2349857,0.017072048,0.21256028,0.25787183,0.20021853,0.25915793,0.0589394,Northern Europe,Europe,0.023948815,0.0048139919,-0.00026401269,0.0049533066,-2.5159,5.5545655,False,0.33205888,0.27,HH,ns,ns
France,0.19167775,569.29834,36655.831,46.793611,122.23891,191.58323,C,N,Europe,High-income countries,64387736,2.1944444,0.18699828,0.0046794737,0.082098181,0.16135511,0.00011730424,FRA,0.19355416,0.19261848,0.98611111,36,3.2319444,46.793611,0.20656387,1122,595962,2.43883,46.4921,46.4921,41.375,51.125,2.1906,0.0868106,346.922,427.645,49.5985,851.203,4033.92,0.0834819,0.987381,0,0.00479632,0.937041,0.0516609,0.00650219,C,0.937041,72,71,0.19167775,0.0065710432,0.1823116,0.19814261,0.17681356,0.20460891,0.027795356,Western Europe,Europe,0.0046794737,0.000183794,0.01488612,0.0018764065,0.30151111,5.7752186,False,0.053119729,0.36,HH,ns,ns
Germany,0.19552601,1077.6341,87333.168,50.890123,311.64766,254.65524,C,N,Europe,High-income countries,81041581,9.8888889,0.18543617,0.010089836,0.094928676,0.35050011,0.00064860257,DEU,0.19316976,0.19367335,1,81,8.9424691,50.890123,0.20895725,774,374121,10.3467,51.1928,51.1928,47.375,54.875,1.94152,0.03379,262.729,241.469,21.1078,557.982,1840.04,0.0432099,0.993926,0,0,0.394135,0.605865,0,D,0.605865,50,50,0.19552601,0.011455756,0.18189633,0.21186341,0.18024111,0.21857207,0.038330967,Western Europe,Europe,0.010089836,0.00085448717,0.013431241,-0.0023562424,-0.30267654,5.5730121,True,0.020350091,0.885,HH,ns,ns
Greece,0.14163851,326.73133,3583.437,38.007143,-92.698174,37.832746,C,N,Europe,High-income countries,10967534,0.85714286,0.16770022,-0.026061711,0.081757677,-0.90119123,0.0036207487,GRC,0.12554819,0.13132754,0.85185185,7,23.888571,38.007143,0.10076443,445,269495,23.6802,38.3399,38.3399,34.875,41.625,1.75905,0.404529,470.041,424.466,31.5614,1083.1,2333.29,0.503371,0.876934,0,0.151838,0.815845,0.0323173,0,C,0.815845,27,23,0.14163851,0.010101601,0.13084966,0.15852915,0.12517947,0.1598792,0.034699721,Southern Europe,Europe,0.026061711,0.0057008965,-0.040874082,-0.016090319,-0.33275714,5.4305507,False,0.31810509,0.311,LL,ns,ns
Hungary,0.18683466,472.9977,4677.637,47.062222,141.55999,471.32364,D,N,Europe,High-income countries,9889344,2.3333333,0.21090149,-0.024066834,0.055914169,-0.82030363,0.0019976318,HUN,0.18345613,0.18454523,1,9,19.76,47.062222,0.12733381,174,91396,19.38,47.1788,47.1788,45.875,48.375,0.637208,0,147.814,78.6153,86.7761,239.392,785.72,0,1,0,0,0.00588672,0.994113,0,D,0.994113,11,11,0.18683466,0.010795775,0.17200799,0.20044989,0.17005906,0.20242703,0.032367963,Eastern Europe,Europe,0.024066834,0.0048615553,-0.059500851,-0.0033785256,-0.11657778,4.9609272,False,0.27496913,0.361,LL,ns,ns
Iceland,0.12736783,409.50505,132.635,65.09,171.58588,81.002979,E,N,Europe,High-income countries,323891,0,0.12736783,2.7755576e-17,1,,,ISL,0.13884127,0.13884127,1,1,-21.06,65.09,0.38965753,420,136906,-18.856,65.0504,65.0504,63.375,66.625,0.80377,0.261173,488.965,369.457,36.8885,964.515,1845.2,0.234127,0.938592,0,0,0.0507134,0.0210431,0.928244,E,0.928244,24,24,0.12736783,0.010676195,0.11371544,0.1397377,0.10614453,0.14733344,0.04118891,Northern Europe,Europe,2.7755576e-17,6.4660311e-33,0.2622897,0.011473436,0.0396,5.1364225,False,8.616884e-18,0.641,HH,ns,ns
Ireland,0.1678619,423.64909,1959.244,53.04,229.56018,38.006118,C,N,Europe,High-income countries,4624686,0,0.18564763,-0.017785728,0.092640765,-0.6176731,0.0019568859,IRL,0.14522304,0.14590805,1,2,-7.35,53.04,0.080183245,211,97634.8,-8.33004,53.1921,53.1921,51.375,55.375,1.01329,0.237187,106.924,92.1088,21.7049,218.096,759.767,0.276988,0.951745,0,0,1,0,0,C,1,13,13,0.1678619,0.0038447271,0.16408256,0.17208691,0.15766039,0.1723302,0.014669806,Northern Europe,Europe,0.017785728,0.0026550983,-0.087678652,-0.022638853,-0.1521,4.9896046,False,-0.10810815,0.638,LH,ns,ns
Italy,0.18232893,367.70877,22302.958,43.01619,393.71826,77.310981,C,N,Europe,High-income countries,60653864,3.3333333,0.17311153,0.0092174029,0.079686012,0.31750401,0.00043944629,ITA,0.18201324,0.17671957,0.97560976,42,12.344524,43.01619,0.18402454,689,393778,12.4234,42.141,42.141,35.375,46.875,2.80064,0.267295,537.04,579.39,30.614,1379.94,3957.57,0.240123,0.920308,0,0.063953,0.802553,0.0935905,0.0399032,C,0.802553,41,40,0.18232893,0.019830455,0.15199041,0.20801755,0.14937951,0.21748495,0.068105441,Southern Europe,Europe,0.0092174029,0.0007131066,0.0016956114,-0.00031569619,0.87519048,5.5952514,False,0.069646737,0.562,HH,ns,ns
