iso3,Country,changed,old_n_train,corrected_n_train,newly_excluded,newly_retained,excluded_codes,retained_codes,minimum_retained_clearance_lower_km
ARE,United Arab Emirates,True,146,144,2,0,PAK|YEM,,595.6035032545958
UZB,Uzbekistan,True,143,142,1,0,AZE,,519.6002071985519
VNM,Vietnam,False,143,143,0,0,,,743.2317243953779
YEM,Yemen,True,144,142,2,0,SDN|ARE,,596.9267432386954
ALB,Albania,True,141,138,3,0,TUR|HUN|SVN,,532.1940953141744
AUT,Austria,True,136,133,3,0,BEL|MNE|NLD,,532.1940953141744
BLR,Belarus,True,139,137,2,0,FIN|SWE,,523.4292153680008
BEL,Belgium,True,144,141,3,0,AUT|CZE|DNK,,575.2113851156029
BIH,Bosnia And Herzegovina,True,136,132,4,0,DEU|POL|CHE|UKR,,516.557346163752
BGR,Bulgaria,True,137,136,1,0,SVK,,516.1513126517902
HRV,Croatia,False,131,131,0,0,,,616.9791693143779
CYP,Cyprus,True,144,141,3,0,IRQ|SAU|GRC,,701.1073430807862
CZE,Czech Republic,True,134,130,4,0,BEL|NLD|RUS|SWE,,554.6138800350556
DNK,Denmark,True,143,138,5,0,BEL|EST|LVA|LTU|GBR,,523.4292153680008
EST,Estonia,True,143,142,1,0,DNK,,525.0751955757905
FIN,Finland,True,145,143,2,0,BLR|LTU,,541.07029162924
FRA,France,True,137,135,2,0,DZA|TUN,,516.557346163752
DEU,Germany,True,133,129,4,0,BIH|LVA|LTU|SRB,,540.6326509284623
GRC,Greece,True,138,135,3,0,CYP|MDA|UKR,,544.4786407610321
HUN,Hungary,True,134,131,3,0,ALB|MKD|CHE,,544.4786407610321
ISL,Iceland,False,150,150,0,0,,,683.9995161569707
IRL,Ireland,False,148,148,0,0,,,575.2113851156029
ITA,Italy,True,130,127,3,0,NLD|POL|ESP,,500.6829492326859
LVA,Latvia,True,143,140,3,0,DNK|DEU|UKR,,561.438700953788
LTU,Lithuania,True,143,140,3,0,DNK|FIN|DEU,,506.53074534544373
