Country,iso3,berkeley,era5,b_residual,e_residual,m49_subregion,m49_region,b_minus_e,b_sign,e_sign,sign_agreement,squared_gap_share,station_knn8_b_minus_e_local_i,station_knn8_b_minus_e_p_value,station_knn8_b_minus_e_q_value,station_knn8_b_minus_e_quadrant,station_knn8_b_minus_e_label,station_knn8_b_minus_e_fdr_label,station_knn8_b_residual_local_i,station_knn8_b_residual_p_value,station_knn8_b_residual_q_value,station_knn8_b_residual_quadrant,station_knn8_b_residual_label,station_knn8_b_residual_fdr_label,station_knn8_e_residual_local_i,station_knn8_e_residual_p_value,station_knn8_e_residual_q_value,station_knn8_e_residual_quadrant,station_knn8_e_residual_label,station_knn8_e_residual_fdr_label,area_knn8_b_minus_e_local_i,area_knn8_b_minus_e_p_value,area_knn8_b_minus_e_q_value,area_knn8_b_minus_e_quadrant,area_knn8_b_minus_e_label,area_knn8_b_minus_e_fdr_label,area_knn8_b_residual_local_i,area_knn8_b_residual_p_value,area_knn8_b_residual_q_value,area_knn8_b_residual_quadrant,area_knn8_b_residual_label,area_knn8_b_residual_fdr_label,area_knn8_e_residual_local_i,area_knn8_e_residual_p_value,area_knn8_e_residual_q_value,area_knn8_e_residual_quadrant,area_knn8_e_residual_label,area_knn8_e_residual_fdr_label
Portugal,PRT,0.1846817946752158,0.13861248943458812,0.0201394316619381,-0.053598365068830395,Southern Europe,Europe,0.04606930524062769,1,-1,False,0.0029199803031078183,-0.25297955560809215,0.5468,0.9174088888888887,HL,ns,ns,0.2634471470939472,0.2847,0.5970791666666666,HH,ns,ns,-0.34736616394996583,0.3182,0.8097914285714286,LH,ns,ns,-0.25297955560809215,0.5468,0.8574969696969698,HL,ns,ns,0.2634471470939472,0.2847,0.5970791666666666,HH,ns,ns,-0.34736616394996583,0.3182,0.8748412698412699,LH,ns,ns
Romania,ROU,0.1626491375716469,0.20102342977603083,-0.04041731068411075,-0.04018893376107127,Eastern Europe,Europe,-0.03837429220438393,-1,-1,True,0.002025990257774231,-0.004318408927185533,0.9282,0.9989,LH,ns,ns,1.0333435300078522,0.0346,0.20357037037037037,LL,LL,ns,0.4497488932132654,0.0845,0.49075,LL,ns,ns,-0.008303852782877652,0.8637,0.9821812030075188,LH,ns,ns,0.8274285374946857,0.0939,0.3150866666666666,LL,ns,ns,0.3987928453268342,0.1248,0.5542588235294117,LL,ns,ns
Russia,RUS,0.262173281711931,0.29918301950000264,0.024589565030806726,0.02182532474095411,Eastern Europe,Europe,-0.03700973778807165,1,1,True,0.0018844673293530907,-0.013118580439030324,0.7451,0.9989,LH,ns,ns,0.4271124298813719,0.1641,0.4858647058823529,HH,ns,ns,-0.1275070243494677,0.3693,0.8097914285714286,HL,ns,ns,-0.0003016196004390504,0.9935,0.9989,LH,ns,ns,0.6134657148730296,0.0411,0.20019677419354837,HH,HH,ns,0.06510275316905555,0.6439,0.9895999999999999,HH,ns,ns
Serbia,SRB,0.1777828851474587,0.1863109062122998,-0.0032089116307773002,-0.049902529667943535,Southern Europe,Europe,-0.008528021064841074,-1,-1,True,0.00010005830119903111,0.14985071487507662,0.2027,0.5724272727272727,HH,ns,ns,0.0399138989313403,0.3204,0.6091560975609757,LL,ns,ns,0.7827608286768811,0.0156,0.24461999999999998,LL,LL,ns,0.14985071487507662,0.2027,0.5492625,HH,ns,ns,0.0399138989313403,0.3204,0.6322886075949368,LL,ns,ns,0.7827608286768811,0.0156,0.29134117647058827,LL,LL,ns
Slovakia,SVK,0.17135924127324334,0.23605248724347283,-0.044259069195859285,0.005217929102442342,Eastern Europe,Europe,-0.06469324597022949,-1,1,False,0.0057580373933549785,0.01636676068383178,0.9368,0.9989,LL,ns,ns,0.49663980308117445,0.3617,0.6259636363636364,LL,ns,ns,-0.016635436561261607,0.6225,0.983250724637681,HL,ns,ns,0.023821244089916177,0.9081,0.9955513888888888,LL,ns,ns,0.530355651948371,0.3291,0.6322886075949368,LL,ns,ns,-0.022045151157524583,0.5191,0.9895999999999999,HL,ns,ns
Slovenia,SVN,0.2104092831778439,0.2811870135650762,0.02010237510875451,0.06951873689241905,Southern Europe,Europe,-0.07077773038723228,1,1,True,0.006892072867982642,-0.10719595831616782,0.6332,0.9657898989898989,LH,ns,ns,-0.21264634190032808,0.386,0.626731182795699,HL,ns,ns,-0.5561875146926161,0.2081,0.7307697674418605,HL,ns,ns,0.0023416407675518705,0.9911,0.9989,LL,ns,ns,-0.1903531340346777,0.4426,0.6889958762886598,HL,ns,ns,-0.2111230709741312,0.6356,0.9895999999999999,HL,ns,ns
Spain,ESP,0.19118695961871326,0.2717275425575316,0.02176097523393522,0.06590991983499633,Southern Europe,Europe,-0.08054058293881836,1,1,True,0.008924546023551775,0.2748584735513563,0.3315,0.6634065789473683,LL,ns,ns,0.4382897268240419,0.1052,0.40731282051282053,HH,ns,ns,0.59568844696905,0.1591,0.667336111111111,HH,ns,ns,0.2748584735513563,0.3315,0.6952291666666667,LL,ns,ns,0.4382897268240419,0.1052,0.3453304347826087,HH,ns,ns,0.59568844696905,0.1591,0.6492999999999999,HH,ns,ns
Sweden,SWE,0.21924683880167534,0.24220502440395486,0.008723578456761916,0.007511924368896972,Northern Europe,Europe,-0.022958185602279524,1,1,True,0.0007251564619577116,-0.03581888275375566,0.3339,0.6634065789473683,HL,ns,ns,0.17111644330005496,0.1129,0.41525,HH,ns,ns,0.12795639119184174,0.0081,0.20277142857142857,HH,HH,ns,-0.044896474966432245,0.2258,0.5878586206896551,HL,ns,ns,0.14199734052113983,0.1904,0.4791733333333334,HH,ns,ns,0.1277982766734448,0.0081,0.2912142857142857,HH,HH,ns
Switzerland,CHE,0.20255138935875544,0.2755135052758906,0.003672385355588559,0.04765594178575741,Western Europe,Europe,-0.07296211591713514,1,1,True,0.007324052294304669,-0.012800272863586823,0.9561,0.9989,LH,ns,ns,0.052550427765375836,0.252,0.5595882352941176,HH,ns,ns,0.16869669555878614,0.5727,0.9806611111111111,HH,ns,ns,0.014907519603856962,0.9494,0.9955513888888888,LL,ns,ns,0.03994457783402864,0.3805,0.6387299999999999,HH,ns,ns,0.18271176567927877,0.5439,0.9895999999999999,HH,ns,ns
Ukraine,UKR,0.17767865721146503,0.25544524282751674,-0.019651401345018082,0.0017647652239655698,Eastern Europe,Europe,-0.07776658561605171,-1,1,False,0.00832037037752067,0.06013232701592519,0.8225,0.9989,LL,ns,ns,0.3272233280221085,0.1762,0.48676909090909093,LL,ns,ns,-0.0021072097693763414,0.8523,0.983250724637681,HL,ns,ns,0.07927775053224825,0.7682,0.9586628099173553,LL,ns,ns,0.5211519883287278,0.029,0.16842307692307695,LL,LL,ns,-0.007815957456112722,0.4941,0.9811077922077922,HL,ns,ns
