Country,iso3,berkeley,era5,b_residual,e_residual,m49_subregion,m49_region,b_minus_e,b_sign,e_sign,sign_agreement,squared_gap_share,station_knn8_b_minus_e_local_i,station_knn8_b_minus_e_p_value,station_knn8_b_minus_e_q_value,station_knn8_b_minus_e_quadrant,station_knn8_b_minus_e_label,station_knn8_b_minus_e_fdr_label,station_knn8_b_residual_local_i,station_knn8_b_residual_p_value,station_knn8_b_residual_q_value,station_knn8_b_residual_quadrant,station_knn8_b_residual_label,station_knn8_b_residual_fdr_label,station_knn8_e_residual_local_i,station_knn8_e_residual_p_value,station_knn8_e_residual_q_value,station_knn8_e_residual_quadrant,station_knn8_e_residual_label,station_knn8_e_residual_fdr_label,area_knn8_b_minus_e_local_i,area_knn8_b_minus_e_p_value,area_knn8_b_minus_e_q_value,area_knn8_b_minus_e_quadrant,area_knn8_b_minus_e_label,area_knn8_b_minus_e_fdr_label,area_knn8_b_residual_local_i,area_knn8_b_residual_p_value,area_knn8_b_residual_q_value,area_knn8_b_residual_quadrant,area_knn8_b_residual_label,area_knn8_b_residual_fdr_label,area_knn8_e_residual_local_i,area_knn8_e_residual_p_value,area_knn8_e_residual_q_value,area_knn8_e_residual_quadrant,area_knn8_e_residual_label,area_knn8_e_residual_fdr_label
Congo (Democratic Republic Of The),COD,0.19859794898946587,0.1962951097284228,-0.0034979198702884684,0.012556327276948775,Middle Africa,Africa,0.002302839261043077,-1,1,False,9.431554975323624e-06,0.12410110706516142,0.2415,0.6511874999999999,HH,ns,ns,-0.034149497709291654,0.4345,0.6627222222222222,LH,ns,ns,0.003870653548443936,0.9621,0.9938000000000001,HH,ns,ns,0.12410110706516142,0.2415,0.6630272727272727,HH,ns,ns,-0.034149497709291654,0.4345,0.6839041666666668,LH,ns,ns,0.003870653548443936,0.9621,0.9967,HH,ns,ns
Côte D'Ivoire,CIV,0.20772847580142792,0.2058693143279862,0.01687231014410856,-0.013729552063841854,Western Africa,Africa,0.0018591614734417283,1,-1,False,6.147383010492319e-06,0.053857665833698096,0.6142,0.8135456140350876,HH,ns,ns,0.27687965363360134,0.1773,0.48676909090909093,HH,ns,ns,-0.014652921406367122,0.8825,0.9938000000000001,LH,ns,ns,0.053857665833698096,0.6142,0.8667682242990653,HH,ns,ns,0.27687965363360134,0.1773,0.46159137931034483,HH,ns,ns,-0.014652921406367122,0.8825,0.9967,LH,ns,ns
Djibouti,DJI,0.20035987264449803,0.2554672355674419,0.0035013912647491596,0.0018651505722159234,Eastern Africa,Africa,-0.05510736292294385,1,1,True,0.005401014066484279,0.6812276405982589,0.0048,0.14495999999999998,LL,LL,ns,0.002067431330688732,0.959,0.967004,HH,ns,ns,0.017514372933653564,0.1637,0.6504921052631579,HH,ns,ns,0.7472230292553171,0.0018,0.10947499999999999,LL,LL,ns,0.010706044701589895,0.7992,0.9194984848484847,HH,ns,ns,0.024681863053610077,0.0486,0.3862421052631579,HH,HH,ns
Egypt,EGY,0.15478518959618381,0.2599890546854204,-0.07206207616360652,-0.02571256742236827,Northern Africa,Africa,-0.10520386508923657,-1,-1,True,0.019684275811644877,0.7743173180342763,0.1343,0.5384342105263158,LL,ns,ns,2.431708307388417,0.0041,0.08305,LL,LL,ns,-0.016244065229763373,0.9275,0.9938000000000001,LH,ns,ns,0.7353134402915049,0.1552,0.6094205128205129,LL,ns,ns,3.1035273851349037,0.0004,0.050333333333333334,LL,LL,ns,0.045443992530142224,0.8003,0.9967,LL,ns,ns
Equatorial Guinea,GNQ,0.16354706521210607,0.2073609196834921,-0.02349015823247133,0.012176048954987861,Middle Africa,Africa,-0.04381385447138603,-1,1,False,0.0034141215045788375,-0.03530945675229733,0.828,0.8937042857142857,LH,ns,ns,0.4430102809531607,0.1269,0.42509782608695657,LL,ns,ns,-0.04627019862557235,0.5813,0.9706468749999999,HL,ns,ns,-0.07636470196408326,0.6393,0.8712160714285714,LH,ns,ns,0.29255517432599837,0.314,0.6321866666666667,LL,ns,ns,-0.06318518409975764,0.4567,0.9290473684210527,HL,ns,ns
Eritrea,ERI,0.20315322405399622,0.2605094991600996,-0.0029237634167966486,-0.015643764660329573,Eastern Africa,Africa,-0.05735627510610336,-1,-1,True,0.005850836049343452,0.7170700802875044,0.0033,0.12835,LL,LL,ns,-0.004702482796191845,0.9009,0.94469375,LH,ns,ns,-0.16031364508083862,0.1296,0.6137705882352941,LH,ns,ns,0.8251996156030033,0.0007,0.1057,LL,LL,ns,0.017256828512019144,0.6454,0.8213900826446281,LL,ns,ns,-0.17195180694363243,0.103,0.5184333333333333,LH,ns,ns
Ethiopia,ETH,0.2076992707889047,0.2851909282257945,-0.001814051624761781,0.009958483248900085,Eastern Africa,Africa,-0.0774916574368898,-1,1,False,0.010679869603148406,1.1255197369847185,0.0027,0.12835,LL,LL,ns,-0.007074356165212348,0.7545,0.8737251908396947,LH,ns,ns,0.1278353663452663,0.0606,0.42279999999999995,HH,ns,ns,0.6505626267152135,0.069,0.5009260869565219,LL,ns,ns,-0.012410904875454392,0.5818,0.7986527272727273,LH,ns,ns,0.062016894751695265,0.3673,0.9243716666666667,HH,ns,ns
Gabon,GAB,0.16553931693258667,0.1898257029221271,-0.024921542856858603,0.008315608456786444,Middle Africa,Africa,-0.024286385989540443,-1,1,False,0.0010490153337982839,-0.016893114127537905,0.7278,0.8616364341085271,LH,ns,ns,0.3047307778014901,0.3173,0.6091560975609757,LL,ns,ns,-0.0415801136580237,0.4621,0.8614456790123457,HL,ns,ns,-0.04463634725756133,0.3495,0.7272486486486487,LH,ns,ns,0.13738499392797784,0.6542,0.8213900826446281,LL,ns,ns,-0.04312638831566329,0.4446,0.9290473684210527,HL,ns,ns
Ghana,GHA,0.1992545668996173,0.2209490627163284,0.013793015989287366,0.004382661639022928,Western Africa,Africa,-0.021694495816711096,1,1,True,0.0008370572712347314,0.021083873104388227,0.5106,0.7787939393939395,LL,ns,ns,0.12708532048894716,0.46,0.6809803921568628,HH,ns,ns,0.02626398896393331,0.3776,0.8614456790123457,HH,ns,ns,-0.0034786093207525614,0.9135,0.9457905405405406,LH,ns,ns,0.19613308319148037,0.2496,0.5519159420289855,HH,ns,ns,0.011297262174593509,0.6981,0.9967,HH,ns,ns
Guinea,GIN,0.22751348300753205,0.2029766053230684,0.03455585260319305,-0.015851863510204373,Western Africa,Africa,0.024536877684463637,1,-1,False,0.0010707661815683618,0.18645923528884753,0.4328,0.764161797752809,HH,ns,ns,1.088374849301031,0.009,0.08588125,HH,HH,ns,-0.034128417925845506,0.7529,0.9938000000000001,LH,ns,ns,0.18645923528884753,0.4328,0.81691,HH,ns,ns,1.088374849301031,0.009,0.104945,HH,HH,ns,-0.034128417925845506,0.7529,0.9967,LH,ns,ns
