iso3,Country,abs_latitude,elevation,continentality,climate_zone,hemisphere,spatial_block
DZA,Algeria,27.988472911053748,557.3623372131892,755.7776573398834,B,N,Africa
AGO,Angola,12.294021891679662,1065.996893813009,490.03807158764164,A,S,Africa
BEN,Benin,9.68824863231078,266.24819692985005,386.4750053302424,A,N,Africa
BWA,Botswana,22.14035581849519,1030.645214676763,809.7426452606967,B,S,Africa
BFA,Burkina Faso,12.276695235758803,297.93037330882635,753.2786512004666,B,N,Africa
BDI,Burundi,3.337967818310983,1555.044856940581,1018.2756356984105,A,S,Africa
CMR,Cameroon,5.682821845053887,642.2580555832353,456.33414211290784,A,N,Africa
CAF,Central African Republic,6.572917337775946,593.7614743414721,1251.7738853589562,A,N,Africa
TCD,Chad,15.29009350032433,516.3959105728908,1322.3596562859764,B,N,Africa
COG,Congo,2.1223028681709777,408.550921552461,540.518999328677,A,S,Africa
COD,Congo (Democratic Republic Of The),4.295074901175064,676.8555669675848,1171.6884711953446,A,S,Africa
CIV,Côte D'Ivoire,7.623240002795848,257.2645603874284,293.8899741238431,A,N,Africa
DJI,Djibouti,11.746369240759714,456.90531137188617,46.494584472361076,B,N,Africa
EGY,Egypt,26.436542779191623,301.80999064105345,320.8096460891413,B,N,Africa
GNQ,Equatorial Guinea,1.7335973075142619,461.5708383601253,98.775509966501,A,N,Africa
ERI,Eritrea,15.363352952945636,766.2758850893455,109.00304647936811,B,N,Africa
ETH,Ethiopia,8.598219776212193,1251.3395518568136,510.51730915058334,B,N,Africa
GAB,Gabon,1.2510814268321522,364.0173611874109,248.40075643239473,A,S,Africa
GHA,Ghana,7.979498116212061,181.35211052823286,300.5760124843382,A,N,Africa
GIN,Guinea,10.46012302217475,435.72005026192886,304.34897201468203,A,N,Africa
GNB,Guinea Bissau,12.05066056530468,32.18398937389166,99.11712880682114,A,N,Africa
KEN,Kenya,1.9332300316014852,787.2744832644072,454.71623759368026,B,N,Africa
LSO,Lesotho,29.574081620049874,2188.8416072663185,236.96594731778995,C,S,Africa
LBR,Liberia,6.435367628090752,205.92179210486097,116.37257196373822,A,N,Africa
LBY,Libya,26.950202804174335,415.6420659899342,502.03235018792856,B,N,Africa
MDG,Madagascar,19.312634985615816,538.3944070335292,95.62894141241759,A,S,Africa
MWI,Malawi,13.422552940220916,953.4383773857443,531.2220119449437,C,S,Africa
MLI,Mali,17.297889704874155,317.4849791046468,1058.180873695036,B,N,Africa
MRT,Mauritania,20.204378553203522,260.66987418756395,553.4516747553963,B,N,Africa
MAR,Morocco,31.838021583836717,875.2273574257412,171.6663230091668,B,N,Africa
MOZ,Mozambique,17.20135241247984,352.7377087884489,222.26652017071027,A,S,Africa
NAM,Namibia,22.10164822917238,1090.7097957065284,329.02912655125397,B,S,Africa
NER,Niger,17.375063951131988,458.32779146088455,1202.10814884376,B,N,Africa
NGA,Nigeria,9.538484373568563,325.8308904917423,509.10934176180297,A,N,Africa
RWA,Rwanda,1.9712447312103618,1704.4577298697038,1067.7347815362707,A,S,Africa
SEN,Senegal,14.374449154444338,49.614891496240496,222.93758643600805,B,N,Africa
SLE,Sierra Leone,8.556548525581462,195.89843517166946,127.63732339742312,A,N,Africa
SOM,Somalia,6.081605029217402,418.79882132610635,136.8940604355091,B,N,Africa
ZAF,South Africa,28.914148941647042,1031.1646416726321,304.3282827315917,B,S,Africa
SDN,Sudan,15.92972322132045,529.8823442087107,878.3694680976688,B,N,Africa
SWZ,Swaziland,26.55366729810427,644.23699697905,121.09503961154786,C,S,Africa
TZA,Tanzania,6.421336926263581,1014.9287481278858,468.4152228608486,A,S,Africa
TGO,Togo,8.482319525421905,255.01275111071024,276.48138821972964,A,N,Africa
TUN,Tunisia,34.07426198936969,255.92073554012921,114.78153594515533,B,N,Africa
UGA,Uganda,1.6799432486088925,1156.4943713867658,999.7748732227714,A,N,Africa
ZMB,Zambia,13.468932390446058,1122.9450059722494,984.5775070167462,C,S,Africa
ZWE,Zimbabwe,18.97800643745139,975.8220720189081,546.0859407785166,B,S,Africa
AFG,Afghanistan,33.76817950299666,1802.3084011660114,912.5023276981528,B,N,Asia
ARM,Armenia,40.33621087456007,1853.0885791888213,271.4791490683092,D,N,Asia
AZE,Azerbaijan,40.266549410824354,642.0538178101762,137.05014722856495,B,N,Asia
BGD,Bangladesh,23.824871125395287,25.277489771938765,154.98310096737114,A,N,Asia
MMR,Burma,21.01194737341006,568.6312016553268,330.917623021011,A,N,Asia
KHM,Cambodia,12.704304304190087,122.75349154248079,193.78765404184912,A,N,Asia
CHN,China,35.90562553970296,1828.1656358892183,1002.0085868368709,B,N,Asia
GEO,Georgia,42.19246465263545,1238.412786845219,138.3790431405706,D,N,Asia
IND,India,22.662846267196468,564.8800981393194,456.9450938820592,A,N,Asia
IDN,Indonesia,3.1605983648272575,327.4421374785508,83.05978684615347,A,S,Asia
IRN,Iran,32.42565816299135,1251.2837191797364,291.1144392049931,B,N,Asia
IRQ,Iraq,32.93695137550909,300.4091698788046,430.4027038100381,B,N,Asia
ISR,Israel,31.45335382069908,305.7738114319793,51.529693744339255,B,N,Asia
JPN,Japan,37.32577149945765,384.9264647719225,46.52167473737616,D,N,Asia
JOR,Jordan,31.257354786844438,766.6363150851067,189.07205569240185,B,N,Asia
KAZ,Kazakhstan,48.01183103871047,359.99507250500574,1113.8547333348788,B,N,Asia
LAO,Laos,18.50787735402101,658.5065065741925,285.76150756420714,A,N,Asia
LBN,Lebanon,33.91600644450052,975.5466636947478,28.207216614306407,C,N,Asia
MYS,Malaysia,3.7869025369073386,265.3216541254244,71.66835985938835,A,N,Asia
MNG,Mongolia,46.72946041089618,1489.1815071102778,1496.291211685167,B,N,Asia
NPL,Nepal,28.263426520718873,2122.0242024122344,821.9975029382396,C,N,Asia
OMN,Oman,20.55673912615902,274.9653997435547,116.41141377127529,B,N,Asia
PAK,Pakistan,29.86104423761397,1011.4995773479333,622.0939811563662,B,N,Asia
PHL,Philippines,11.680476829584695,318.90237319574027,30.834405170278583,A,N,Asia
QAT,Qatar,25.296896981031818,25.5622413486713,17.94138821212011,B,N,Asia
SAU,Saudi Arabia,24.002935381565045,641.7085619156142,318.2644395206688,B,N,Asia
KOR,South Korea,36.31544183047719,255.28095781941798,53.751038231302694,D,N,Asia
LKA,Sri Lanka,7.617747004925853,171.33990370273727,39.94034083073147,A,N,Asia
SYR,Syria,35.01463367718799,519.1358450360337,232.97105536447924,B,N,Asia
TWN,Taiwan,23.74948676745924,767.7001754184212,23.990792247945464,C,N,Asia
TJK,Tajikistan,38.500377240079914,2929.4842036848813,1389.6118686225652,E,N,Asia
THA,Thailand,15.024109470996702,278.62606125457796,217.58103318998292,A,N,Asia
TUR,Turkey,39.03787712616993,1136.3263694555812,157.2288206337708,D,N,Asia
TKM,Turkmenistan,39.07793399940572,203.8556394787205,457.11232801841,B,N,Asia
ARE,United Arab Emirates,23.845448709690675,115.21443895691598,76.17564673573334,B,N,Asia
UZB,Uzbekistan,41.497100606282004,383.2467485232347,773.1202206248771,B,N,Asia
