a,b,legacy_km,corrected_lower_km,corrected_upper_km,change
NLD,POL,541.3,445.5244372196602,485.1306575686581,newly_excluded
NLD,SWE,565.8,409.18695445472974,448.7689990247977,newly_excluded
SVK,CHE,640.4,487.3779623923356,527.0171793609842,newly_excluded
SVN,UKR,570.7,452.3653473889295,491.9767624143868,newly_excluded
ESP,CHE,641.3,455.88266884057066,495.4973287723779,newly_excluded
BHS,JAM,638.2,328.7060622774631,368.2475354773358,newly_excluded
CRI,COL,659.8,193.59417685391827,233.09701683196747,newly_excluded
CUB,HND,699.7,410.155385291755,449.739353909723,newly_excluded
CUB,COL,1050.7,415.63146961413736,455.21892532737525,newly_excluded
DOM,JAM,636.3,410.1850924632596,449.76800190321745,newly_excluded
HTI,COL,778.4,490.4919672263974,530.1347652203426,newly_excluded
HND,JAM,778.7,453.73840800261684,493.35149097966695,newly_excluded
HND,COL,1088.4,192.38768070383242,231.89031630911876,newly_excluded
JAM,COL,807.7,120.33885814662418,159.83286306961412,newly_excluded
MEX,NIC,547.8,423.67230912201506,463.2645384102036,newly_excluded
NIC,COL,792.4,37.88696813837574,77.37723173941673,newly_excluded
PAN,VEN,659.8,440.7739871505644,480.3773663158978,newly_excluded
BRA,ECU,555.1,469.74152588645376,509.36756433898,newly_excluded
CHL,PRY,523.7,451.8118287191748,491.42305666010395,newly_excluded
