iso3,n_cells_15min,land_area_km2,centroid_lon,centroid_lat,abs_centroid_lat,lat_min,lat_max,lat_sd_area_weighted,coastal_cell_fraction,elev_mean_m,elev_sd_m,elev_p10_m,elev_p90_m,elev_max_m,elev_below_sea_fraction,koppen_classified_fraction,koppen_share_A,koppen_share_B,koppen_share_C,koppen_share_D,koppen_share_E,koppen_area_dominant,koppen_area_dominant_share
ABW,4,3017.81,-70,12.5,12.5,12.375,12.625,0.125,1,25.1386,0,25.1386,25.1386,25.1386,0.972222,0.500242,0,1,0,0,0,B,1
AFG,1001,642217,65.9352,33.8038,33.8038,29.625,38.375,2.11048,0.0019653,1799.82,1093.74,576.971,3316.32,5650.34,0,1,0,0.676528,0.0245095,0.241766,0.0571965,B,0.676528
AGO,1699,1.28073e+06,17.4435,-12.2843,12.2843,-17.875,-4.625,3.22673,0.0307466,1066.91,373.374,503.598,1463.54,2252.76,0.0226277,0.996444,0.394175,0.222992,0.382833,0,0,A,0.394175
AIA,6,4401.26,-63.1248,18.3333,18.3333,18.125,18.625,0.171776,1,14.4804,2.91645,12.1458,16.8122,17.3954,0.962963,0.500122,1,0,0,0,0,A,1
ALA,23,8835.64,20.2994,60.1896,60.1896,59.875,60.625,0.235569,0.652474,10.9899,9.4299,2.10378,24.0751,39.498,0.78744,0.564025,0,0,0,1,0,D,1
ALB,57,33208.6,19.9731,41.0561,41.0561,39.625,42.375,0.734368,0.123164,639.115,490.858,49.0826,1308.58,2047.37,0.179337,1,0,0,0.63393,0.36607,0,C,0.63393
ARE,153,107935,53.9508,24.0799,24.0799,22.625,25.875,0.791318,0.201285,112.107,110.111,15.1169,166.062,1364.7,0.242556,0.863482,0,1,0,0,0,B,1
ARG,4590,2.85528e+06,-64.7249,-34.944,34.944,-55.125,-21.875,7.53802,0.0285403,710.923,1058.08,55.64,1757.4,6199.41,0.0284677,0.99499,0.000737807,0.559662,0.403084,0.00999524,0.0265209,B,0.559662
ARM,52,30627,44.9018,40.3393,40.3393,39.125,41.125,0.542331,0,1857.54,591.876,975.256,2602.02,3699.75,0,1,0,0.365707,0,0.634293,0,D,0.634293
ASM,9,6748.51,-169.934,-13.956,13.956,-14.625,-11.125,1.01858,1,191.648,152.34,78.0096,344.218,406.733,0.962963,0,,,,,,,
ATF,54,28629.2,63.8664,-45.5192,45.5192,-50.125,-11.625,9.95714,0.717733,239.546,209.978,22.5864,543.592,1000.91,0.703704,0.656062,0,0,0,0,1,E,1
ATG,8,5907.01,-61.8753,17.1559,17.1559,16.875,17.625,0.291318,1,19.6108,10.9509,4.94377,30.0046,30.8413,0.916667,0.499409,1,0,0,0,0,A,1
AUS,11951,8.27006e+06,134.398,-25.6602,25.6602,-55.125,-9.375,6.52565,0.0619581,274.104,190.904,55.5006,515.28,2035.61,0.0687809,0.974575,0.1049,0.775577,0.119412,0,0.000110673,B,0.775577
AUT,161,83914.3,14.0723,47.5919,47.5919,46.625,48.875,0.591224,0,964.214,649.387,272.852,1957.62,3241.82,0,1,0,0,0,0.949815,0.0501853,D,0.949815
AZE,162,95502.9,47.7522,40.2753,40.2753,38.625,41.875,0.755336,0.123387,777.249,754.826,36.2375,1907.23,3679.06,0.249657,1,0,0.692499,0.104706,0.190697,0.0120971,B,0.692499
BDI,35,26998.9,29.8965,-3.38197,3.38197,-4.375,-2.375,0.49454,0,1465.76,384.318,780.976,1933.64,2363.75,0,1,0.771451,0,0.228549,0,0,A,0.771451
BEL,65,31825.5,4.61783,50.6819,50.6819,49.625,51.375,0.45179,0.0455536,151.524,152.87,8.25052,406.764,665.799,0.0358974,1,0,0,0.984514,0.0154858,0,C,0.984514
BEN,152,115754,2.3526,9.65343,9.65343,6.375,12.125,1.54728,0.0265389,266.705,112.49,105.9,394.512,640.854,0.0131579,1,0.954274,0.0457255,0,0,0,A,0.954274
BES,7,5212.88,-65.4022,15.25,15.25,12.125,17.625,2.65651,0.858716,35.1973,34.6146,6.53112,77.7516,104.503,0.904762,0.43467,0,1,0,0,0,B,1
BFA,366,276301,-1.75394,12.2834,12.2834,9.625,14.875,1.18712,0,298.279,49.3622,251.954,342.915,625.556,0,1,0.449873,0.550127,0,0,0,B,0.550127
BGD,215,152133,90.3473,23.6613,23.6613,20.875,26.375,1.24846,0.0754772,20.3727,37.3214,2.43227,46.8011,353.491,0.0863049,0.99527,0.856907,0,0.143093,0,0,A,0.856907
BGR,205,116274,25.3575,42.7784,42.7784,41.375,44.125,0.702055,0.0389233,477.426,430.889,108.237,1110.23,2615.37,0.0373984,0.99024,0,0.0780317,0.293334,0.628634,0,D,0.628634
BHR,5,3470.57,50.5249,26.0748,26.0748,25.875,26.375,0.187031,0.599317,14.7032,11.168,1.04484,27.428,27.5973,0.822222,1,0,1,0,0,0,B,1
BHS,192,135230,-76.5178,24.2381,24.2381,20.875,27.375,1.61622,0.807909,8.49962,16.9173,0.576383,19.394,150.688,0.868056,0.374801,0.872322,0.127678,0,0,0,A,0.872322
BIH,93,51566.4,17.8143,44.1433,44.1433,42.625,45.125,0.621861,0,699.853,409.801,192.474,1259.55,1988.19,0.00597372,1,0,0,0.172681,0.827319,0,D,0.827319
BLM,1,735.468,-62.875,17.875,17.875,17.875,17.875,0,1,,,,,,1,0,,,,,,,
BLR,450,206604,28.0473,53.5301,53.5301,51.625,56.125,1.13308,0,160.068,28.4467,130.481,197.019,310.025,0,1,0,0,0,1,0,D,1
BLZ,54,39862.3,-88.4498,17.1929,17.1929,16.125,18.375,0.622505,0.166606,166.584,225.932,4.32118,567.175,948.075,0.353909,0.777567,1,0,0,0,0,A,1
BMU,3,1959.76,-64.7918,32.2916,32.2916,32.125,32.375,0.117905,1,17.6667,0,17.6667,17.6667,17.6667,0.962963,0,,,,,,,
BOL,1471,1.08731e+06,-64.6756,-16.6784,16.6784,-22.875,-9.875,2.96963,0,1276.57,1542.62,146.984,3886.29,5469.16,0,1,0.619194,0.23863,0.112207,0,0.0299686,A,0.619194
BRA,11559,8.68606e+06,-53.028,-10.6601,10.6601,-33.625,5.125,8.00895,0.0196861,314.749,263.401,46.9739,727.646,2173.98,0.0181677,0.99637,0.85164,0.0497251,0.098635,0,0,A,0.85164
BRB,3,2256.98,-59.5416,13.2083,13.2083,13.125,13.375,0.117831,1,118.155,71.9274,49.5276,205.258,205.791,0.814815,0.666553,1,0,0,0,0,A,1
BRN,11,8471.86,114.761,4.6931,4.6931,4.125,5.125,0.303232,0.272657,45.6624,63.8464,5.1533,80.2164,375.057,0.282828,0.909148,1,0,0,0,0,A,1
BTN,60,41162.2,90.3752,27.4051,27.4051,26.875,28.125,0.384697,0,2642.12,1497.25,611.169,4633.7,6707.78,0,1,0,0,0.667939,0,0.332061,C,0.667939
BVT,1,450.122,3.375,-54.375,54.375,-54.375,-54.375,0,1,250.582,200.681,90.0366,411.127,451.263,0.777778,0,,,,,,,
BWA,811,579983,23.8387,-22.1526,22.1526,-26.625,-17.875,2.11233,0,1031.15,102.083,924.069,1169.45,1397.12,0,1,0,1,0,0,0,B,1
CAF,812,623106,20.4563,6.58242,6.58242,2.625,10.875,1.63018,0,593.078,142.335,423.981,757.865,1246.58,0,1,0.971945,0.0280546,0,0,0,A,0.971945
CAN,30684,1.09247e+07,-95.4232,60.9608,60.9608,41.875,83.125,8.61911,0.0729603,459.266,412.471,67.5996,1021.68,5337.7,0.105545,0.983385,0,0.0127131,0.0103978,0.701418,0.275472,D,0.701418
CHE,75,39657.9,8.25247,46.8231,46.8231,46.125,47.625,0.410605,0,1332.35,772.377,466.955,2475.14,3578.45,0,1,0,0,0.013444,0.638617,0.347939,D,0.638617
CHL,1615,942118,-71.4383,-37.8719,37.8719,-55.875,-17.625,11.3611,0.128714,1260.14,1332.6,66.1897,3360.45,5955.01,0.196147,0.96881,0,0.370259,0.301951,0.00993715,0.317853,B,0.370259
CHN,15503,9.562e+06,103.71,36.5612,36.5612,15.875,53.375,7.15184,0.0142002,1833.28,1745.24,107.474,4803,7268.4,0.0171293,0.994566,0.00475823,0.333868,0.264989,0.228214,0.168172,B,0.333868
CIV,435,333123,-5.53954,7.5451,7.5451,4.375,10.625,1.53756,0.0439107,257.8,125.887,86.6065,409.004,945.696,0.0349936,0.997689,1,0,0,0,0,A,1
CMR,613,470947,12.667,5.6809,5.6809,1.875,12.875,2.43562,0.0163786,640.22,321.841,267.71,1039.87,2905.77,0.0174008,1,0.948529,0.0514707,0,0,0,A,0.948529
COD,3036,2.33634e+06,23.6432,-2.85332,2.85332,-13.375,5.125,4.38008,0.00261743,676.778,342.834,345.282,1119.87,4253.58,0.000439174,1,0.950511,0,0.0494891,0,0,A,0.950511
COG,451,348182,15.2088,-0.877889,0.877889,-5.125,3.625,2.364,0.0110609,406.934,136.946,290.314,596.922,843.627,0.0142892,0.997789,1,0,0,0,0,A,1
COK,26,19270.9,-160.107,-15.5778,15.5778,-21.875,-8.875,4.99116,1,86.2654,53.8252,16.7294,150.075,151.5,0.970085,0,,,,,,,
COL,1556,1.19715e+06,-73.2432,4.10592,4.10592,-3.875,15.875,3.44673,0.0439527,549.677,821.011,68.2235,1861.56,4705.59,0.0461297,0.986014,0.883482,0.0134489,0.0835087,0,0.0195605,A,0.883482
COM,14,10581.5,43.8028,-12.018,12.018,-12.375,-11.375,0.309381,1,424.513,454.12,19.0446,1004.05,1896.56,0.81746,0.785798,1,0,0,0,0,A,1
CPV,28,20797.2,-23.9969,15.9981,15.9981,14.875,17.125,0.833283,0.96413,310.723,398.488,11.8894,708.128,1565.51,0.781746,0.785404,0,1,0,0,0,B,1
CRI,91,69286,-84.2918,9.80268,9.80268,5.375,11.125,0.940798,0.275065,531.365,651.603,16.5686,1457.42,3474.52,0.266178,0.955799,1,0,0,0,0,A,1
CUB,274,196766,-79.4079,21.6734,21.6734,19.875,23.375,0.941343,0.376022,93.491,142.765,2.76009,230.04,1343.72,0.422547,0.872159,1,0,0,0,0,A,1
CUW,7,5290.11,-68.9106,12.0535,12.0535,11.875,12.375,0.174937,1,26.7243,12.8208,12.5533,41.0203,47.206,0.904762,0.571143,0.499882,0.500118,0,0,0,B,0.500118
CYM,7,5095.14,-80.2335,19.626,19.626,19.375,19.875,0.188982,1,3.08209,0.137641,2.95167,3.22003,3.25923,0.952381,0.286158,1,0,0,0,0,A,1
CYP,31,19602.9,33.3803,35.0852,35.0852,34.625,35.625,0.305116,0.677279,290.502,293.142,31.9548,713.037,1501.08,0.530466,0.935615,0,0.206767,0.793233,0,0,C,0.793233
CZE,160,79916.2,15.3396,49.7355,49.7355,48.625,50.875,0.547117,0,448.633,177.517,229.812,675.957,1123.08,0,1,0,0,0,1,0,D,1
DEU,774,374121,10.3467,51.1928,51.1928,47.375,54.875,1.94152,0.03379,262.729,241.469,21.1078,557.982,1840.04,0.0432099,0.993926,0,0,0.394135,0.605865,0,D,0.605865
DJI,34,25721.5,42.6538,11.7644,11.7644,11.125,12.625,0.433776,0.08812,466.035,286.239,108.914,846.746,1472.46,0.124183,1,0,1,0,0,0,B,1
DMA,4,2980.44,-61.3125,15.3749,15.3749,15.125,15.625,0.176776,1,422.297,318.097,102.966,894.668,991.964,0.777778,1,1,0,0,0,0,A,1
DNK,178,77045.4,10.4403,55.9258,55.9258,54.625,57.875,0.798953,0.296147,30.5387,24.0553,3.47182,63.4994,134.566,0.422597,0.911256,0,0,0.546123,0.453877,0,C,0.546123
DOM,95,69473.9,-70.3509,18.8465,18.8465,17.375,19.875,0.587033,0.336956,395.927,481.571,22.2594,1094.13,2567.88,0.293567,0.968319,0.95649,0,0.0435098,0,0,A,0.95649
DZA,3437,2.33333e+06,2.69127,28.1258,28.1258,19.125,37.125,4.30552,0.0114434,558.667,318.468,235.062,1046.07,2478.13,0.0108945,0.99894,0,0.959043,0.0409568,0,0,B,0.959043
ECU,403,311259,-80.1906,-1.30463,1.30463,-4.875,1.375,1.35355,0.146452,1043.92,1193.95,55.4552,3106.83,4933.73,0.179763,0.925531,0.681032,0.112577,0.125946,0,0.0804439,A,0.681032
EGY,1520,1.04923e+06,30.0259,26.5443,26.5443,22.125,31.625,2.76974,0.0406764,311.176,216.288,80.024,598.336,2063.74,0.0653509,0.993488,0,1,0,0,0,B,1
ERI,207,154189,39.1954,15.4002,15.4002,12.625,17.875,1.14534,0.130391,768.759,579.495,74.3589,1660.09,2586.99,0.197531,0.932561,0,1,0,0,0,B,1
ESH,412,289213,-13.3141,24.6256,24.6256,21.125,27.625,1.96072,0.0680687,249.844,122.184,96.5433,444.931,571.342,0.0539374,0.990285,0,1,0,0,0,B,1
ESP,984,583393,-4.1067,39.7228,39.7228,27.625,43.875,3.31692,0.159903,680.526,403.58,178.577,1183.21,2949.7,0.126468,0.970147,0,0.488555,0.509436,0.00200929,0,C,0.509436
EST,158,63413.1,25.0451,58.7109,58.7109,57.625,59.875,0.54663,0.220183,54.0941,37.3878,11.788,95.9282,247.475,0.270042,0.918799,0,0,0,1,0,D,1
ETH,1486,1.1341e+06,39.6651,8.616,8.616,3.625,14.625,2.68508,0,1260.88,704.671,432.702,2270.25,4180.32,0.00672948,1,0.337991,0.481854,0.177448,0,0.00270668,B,0.481854
FIN,1072,358563,25.9369,64.0719,64.0719,59.875,69.875,2.66556,0.0536314,151.053,98.458,48.6087,282.809,1019.06,0.0647803,0.984527,0,0,0,0.99844,0.00156006,D,0.99844
FJI,141,103862,179.406,-17.5466,17.5466,-21.125,-12.375,1.28942,0.680437,175.95,198.429,5.45074,479.013,961.351,0.776202,0.397522,1,0,0,0,0,A,1
FLK,72,34461.1,-59.6761,-51.7301,51.7301,-52.875,-50.875,0.398728,0.500299,58.6577,80.046,2.81279,148.823,583.109,0.554012,0.916633,0,0,0.153042,0,0.846958,E,0.846958
FRA,1122,595962,2.43883,46.4921,46.4921,41.375,51.125,2.1906,0.0868106,346.922,427.645,49.5985,851.203,4033.92,0.0834819,0.987381,0,0.00479632,0.937041,0.0516609,0.00650219,C,0.937041
FRO,18,6536.14,-6.87477,61.9692,61.9692,61.375,62.375,0.32498,0.722245,210.5,145.223,13.2712,408.775,515.841,0.765432,0.719518,0,0,0.311101,0,0.688899,E,0.688899
FSM,78,59751.3,150.496,7.46747,7.46747,1.125,10.125,1.4558,0.974341,75.296,92.9617,3.75,142.724,442.387,0.952991,0.0256803,1,0,0,0,0,A,1
GAB,369,285048,11.6712,-0.676973,0.676973,-3.875,2.125,1.39713,0.0596016,361.038,216.656,29.4963,607.527,874.849,0.0614273,0.994582,1,0,0,0,0,A,1
GBR,749,335829,-3.0965,54.3447,54.3447,49.875,60.875,2.58464,0.26651,157.895,151.415,15.9857,377.379,1114.06,0.272215,0.951163,0,0,1,0,0,C,1
GEO,128,73255.5,43.3985,42.2201,42.2201,41.125,43.375,0.577787,0.0776471,1211.16,841.003,146.015,2366.36,3993.31,0.0677083,0.992269,0,0.0638516,0.259508,0.614439,0.0622007,D,0.614439
GGY,5,2508.09,-2.42531,49.5248,49.5248,49.375,49.625,0.122537,0.799387,48.6323,9.25933,41.2248,56.0398,57.8916,0.955556,0.200613,0,0,1,0,0,C,1
GHA,320,244840,-1.20871,7.87676,7.87676,4.625,11.125,1.71478,0.0502813,178.532,92.4787,79.8641,296.726,722.812,0.0385417,0.990573,1,0,0,0,0,A,1
GIN,336,255293,-11.0655,10.4495,10.4495,7.375,12.625,1.16998,0.0268335,435.21,224.539,92.6244,717.491,1336.99,0.037037,0.988067,1,0,0,0,0,A,1
GLP,12,8905.54,-61.4583,16.1874,16.1874,15.875,16.625,0.231036,0.66656,184.909,245.765,9.94661,535.428,885.958,0.814815,0.833388,1,0,0,0,0,A,1
GMB,16,12026.6,-15.4223,13.4235,13.4235,13.125,13.625,0.131652,0.125089,24.0107,16.2534,2.34497,46.3579,55.5604,0.166667,1,0.750212,0.249788,0,0,0,A,0.750212
GNB,62,46880.7,-15.2711,11.8994,11.8994,10.875,12.625,0.466084,0.145436,30.6273,26.1374,3.60389,64.5069,179.332,0.263441,0.983812,1,0,0,0,0,A,1
GNQ,46,35524.1,9.93003,1.8476,1.8476,-1.375,3.875,0.947017,0.282495,453.276,287.478,31.6771,686.189,2668.22,0.243961,0.978253,1,0,0,0,0,A,1
GRC,445,269495,23.6802,38.3399,38.3399,34.875,41.625,1.75905,0.404529,470.041,424.466,31.5614,1083.1,2333.29,0.503371,0.876934,0,0.151838,0.815845,0.0323173,0,C,0.815845
GRD,6,4533.16,-61.6668,12.1249,12.1249,11.875,12.375,0.204124,1,235.373,171.017,49.7645,405.83,409.254,0.925926,0.499845,1,0,0,0,0,A,1
GRL,11681,2.36359e+06,-41.7974,73.061,73.061,59.625,83.625,5.68802,0.0595931,1778.08,904.044,357.101,2828.95,3391.81,0.0844581,0.986687,0,0.00157302,0,0,0.998427,E,0.998427
GTM,150,111633,-90.3911,15.5845,15.5845,13.875,17.625,1.05586,0.0537341,745.251,796.857,51.6109,2012.27,3461.38,0.0555556,0.993294,0.784828,0,0.215172,0,0,A,0.784828
GUF,116,89409.1,-53.2005,4.0208,4.0208,2.375,5.625,0.923889,0.0774617,117.581,74.5963,26.59,195.431,583.943,0.0469349,0.991391,1,0,0,0,0,A,1
GUM,4,3007.23,144.75,13.3749,13.3749,13.125,13.625,0.176776,1,106.027,82.0613,30.333,198.323,282.31,0.805556,1,1,0,0,0,0,A,1
GUY,285,219313,-58.9565,4.91007,4.91007,1.375,8.625,1.87517,0.0454197,202.439,226.853,15.6256,536.388,1856.23,0.0339181,0.989525,1,0,0,0,0,A,1
HKG,6,4291.37,114.125,22.25,22.25,22.125,22.375,0.125,0.166815,101.605,93.4765,9.65672,224.287,350.792,0.722222,1,0,0,1,0,0,C,1
HMD,6,2787.69,73.417,-53.042,53.042,-53.125,-52.875,0.117964,1,484.083,514.694,26.6696,944.952,1681.68,0.833333,0.499034,0,0,0,0,1,E,1
HND,182,135830,-86.4127,15.019,15.019,13.125,17.375,0.743416,0.169594,620.7,476.715,21.1743,1261.97,2240.1,0.168498,0.901599,1,0,0,0,0,A,1
HRV,150,82560.2,16.2001,44.5583,44.5583,42.125,46.375,1.09697,0.183615,295.078,277.682,83.6637,749.893,1468.04,0.331111,0.911116,0,0,0.558894,0.441106,0,C,0.558894
HTI,73,53345,-72.9509,18.97,18.97,18.125,20.125,0.622563,0.42454,404.99,379.909,28.7036,872.481,2310.72,0.494673,0.904489,1,0,0,0,0,A,1
HUN,174,91396,19.38,47.1788,47.1788,45.875,48.375,0.637208,0,147.814,78.6153,86.7761,239.392,785.72,0,1,0,0,0.00588672,0.994113,0,D,0.994113
IDN,3807,2.93369e+06,117.815,-2.49238,2.49238,-11.125,6.125,3.52434,0.346664,322.097,518.149,6.03981,967.341,4482.01,0.339813,0.877143,0.984418,0,0.0155822,0,0,A,0.984418
IMN,5,2258.82,-4.57536,54.2248,54.2248,54.125,54.375,0.1224,1,118.192,120.777,10.4717,315.058,353.669,0.755556,1,0,0,1,0,0,C,1
