iso3,n_cells_15min,land_area_km2,centroid_lon,centroid_lat,abs_centroid_lat,lat_min,lat_max,lat_sd_area_weighted,coastal_cell_fraction,elev_mean_m,elev_sd_m,elev_p10_m,elev_p90_m,elev_max_m,elev_below_sea_fraction,koppen_classified_fraction,koppen_share_A,koppen_share_B,koppen_share_C,koppen_share_D,koppen_share_E,koppen_area_dominant,koppen_area_dominant_share
MAR,669,438574,-6.45721,31.8946,31.8946,27.875,35.875,2.01129,0.0831409,872.22,597.214,181.455,1686.43,3515.82,0.0647733,0.992493,0,0.745364,0.248598,0.00603863,0,B,0.745364
MDA,66,34615.5,28.4068,47.2455,47.2455,45.625,48.375,0.733888,0,142.897,64.0116,54.2203,228.014,299.727,0,1,0,0.0622412,0,0.937759,0,D,0.937759
MDG,933,679681,46.7729,-19.1465,19.1465,-25.625,-11.875,3.37175,0.137295,534.124,451.339,37.2611,1186.11,2321.44,0.120638,0.969703,0.605849,0.12122,0.272931,0,0,A,0.605849
MDV,87,67049.4,73.1971,3.69561,3.69561,-0.625,7.125,2.01601,0.793081,12.3157,12.878,1.77338,34.2041,45.4375,0.966794,0,,,,,,,
MEX,3070,2.16227e+06,-102.346,23.883,23.883,14.625,32.625,4.55337,0.103795,1043.43,821.195,28.4461,2171.11,4365.39,0.0979732,0.976471,0.293958,0.535766,0.170276,0,0,B,0.535766
MHL,91,69396.8,168.526,9.0686,9.0686,4.625,14.625,2.07363,0.98895,32.7854,31.968,6.2,77.2184,143.438,0.927961,0,,,,,,,
MKD,42,24270,21.6889,41.6013,41.6013,40.875,42.125,0.335499,0,819.227,419.303,314.741,1397.21,2286.92,0,1,0,0.285612,0,0.714388,0,D,0.714388
MLI,1706,1.25605e+06,-3.56464,17.3265,17.3265,10.375,24.875,3.43284,0,316.966,81.7273,262.129,402.115,846.185,0,1,0.116703,0.883297,0,0,0,B,0.883297
MLT,4,2500.73,14.3754,35.9999,35.9999,35.875,36.125,0.125,1,55.2373,44.0897,19.6545,107.992,137.153,0.861111,0.250396,0,0,1,0,0,C,1
MMR,1039,750701,96.5155,20.2825,20.2825,8.875,28.375,4.15168,0.0674919,558.452,584.228,17.1056,1306.03,4988.24,0.110576,0.960002,0.559001,0.0360301,0.401188,0,0.00378049,A,0.559001
MNE,26,14760.6,19.2201,42.7196,42.7196,41.875,43.375,0.374168,0.116489,1045.34,490.275,196.679,1664.46,1966.47,0.132479,1,0,0,0.271347,0.728653,0,D,0.728653
MNG,2958,1.56235e+06,103.14,46.9741,46.9741,41.875,51.875,2.21916,0,1487.52,537.221,894.185,2291.77,3778.05,0,1,0,0.713375,0,0.252834,0.0337912,B,0.713375
MNP,18,13290.2,145.614,17.0344,17.0344,14.125,20.625,1.98338,1,232.772,187.839,59.7597,442.954,639.541,0.95679,0.168329,1,0,0,0,0,A,1
MOZ,1142,840361,35.7346,-17.2503,17.2503,-26.625,-10.375,4.01199,0.0685235,351.984,292.807,40.8279,729.006,1891.04,0.0533178,0.984247,0.722253,0.178119,0.099628,0,0,A,0.722253
MRT,1458,1.05569e+06,-10.4219,20.2059,20.2059,14.875,27.125,2.96249,0.0145631,260.84,123.957,55.2969,391.753,725.68,0.0192044,0.995842,0,1,0,0,0,B,1
MSR,2,1479.96,-62.125,16.7499,16.7499,16.625,16.875,0.125,0.500328,26.7377,0,26.7377,26.7377,26.7377,0.944444,0,,,,,,,
MTQ,6,4486.37,-61,14.6248,14.6248,14.375,14.875,0.204124,1,156.586,142.077,19.71,408.506,444.102,0.722222,0.833144,1,0,0,0,0,A,1
MUS,19,13895.9,59.0051,-18.6585,18.6585,-20.625,-10.375,2.54236,0.895652,160.753,162.709,6.55022,395.061,563.303,0.818713,0.313044,1,0,0,0,0,A,1
MWI,159,119570,34.2694,-13.1616,13.1616,-16.875,-9.625,1.90457,0,877.361,411.91,474.5,1369.42,2373.09,0,1,0.577686,0,0.422314,0,0,A,0.577686
MYS,542,417719,109.772,3.92443,3.92443,1.125,7.375,1.54526,0.188102,262.252,337.643,6.68284,747.772,2981.99,0.196187,0.953932,1,0,0,0,0,A,1
MYT,5,3767.44,45.2251,-12.8249,12.8249,-13.125,-12.625,0.187059,1,108.462,58.8035,40.3562,170.298,218.715,0.844444,0.80024,1,0,0,0,0,A,1
NAM,1182,844374,17.1199,-22.1392,22.1392,-28.875,-17.125,3.21003,0.0394946,1091.16,351.395,567.251,1482.47,2144.71,0.036567,0.994126,0,1,0,0,0,B,1
NCL,91,65609.8,165.271,-21.0807,21.0807,-22.875,-17.375,1.03553,0.692855,217.597,247.175,11.4606,573.567,1250.48,0.647131,0.636584,1,0,0,0,0,A,1
NER,1613,1.18799e+06,9.34702,17.4069,17.4069,11.875,23.375,2.73084,0.00189787,456.912,156.898,288.269,650.595,1729.73,0,1,0,1,0,0,0,B,1
NFK,2,1351.76,167.875,-28.9998,28.9998,-29.125,-28.875,0.125,1,,,,,,1,0,,,,,,,
NGA,1204,916881,8.03881,9.50131,9.50131,4.375,13.625,2.33543,0.0226413,323.548,220.357,67.7818,581.306,1716.04,0.0176264,0.997481,0.767286,0.232714,0,0,0,A,0.767286
NIC,202,152149,-84.8875,12.8773,12.8773,10.875,14.875,1.00982,0.148559,218.666,267.693,13.3317,618.894,1423.02,0.144114,0.930796,1,0,0,0,0,A,1
NIU,2,1461.34,-169.875,-18.9999,18.9999,-19.125,-18.875,0.125,1,56.4328,1.64036,55.0988,58.099,58.7237,0.833333,0.499624,1,0,0,0,0,A,1
NLD,96,45284.1,5.4386,52.3709,52.3709,50.875,53.625,0.669787,0.154661,13.1077,21.2525,0.522023,29.1849,221.86,0.429398,0.969165,0,0,1,0,0,C,1
NOR,1246,407855,12.4024,64.3658,64.3658,57.875,71.125,4.06958,0.130053,545.963,388.247,86.5871,1070.53,1995.15,0.208044,0.965716,0,0,0.0581461,0.765362,0.176492,D,0.765362
NPL,211,143584,83.9789,28.2808,28.2808,26.625,30.375,0.946914,0,2001.63,1714.41,146.39,4806.75,6727.85,0,1,0,0,0.759985,0,0.240015,C,0.759985
NRU,1,772.725,166.875,-0.625,0.625,-0.625,-0.625,0,1,,,,,,1,0,,,,,,,
NZL,691,398478,173.258,-41.4414,41.4414,-52.625,-29.125,3.70735,0.292177,479.089,433.448,44.4159,1131.82,2335.69,0.313555,0.896356,0,0,0.984274,0,0.0157262,C,0.984274
OMN,493,356363,56.1904,20.5708,20.5708,16.625,26.625,2.2082,0.133607,276.034,260.77,74.9986,611.313,2526.26,0.119901,0.971648,0,1,0,0,0,B,1
PAK,1340,896256,69.1417,29.8198,29.8198,23.875,36.875,3.34071,0.0226665,1002.58,1285.64,49.1226,3084.97,7525.56,0.0194859,0.999212,0,0.867635,0.050875,0.0178389,0.0636509,B,0.867635
PAN,168,128413,-80.1759,8.43654,8.43654,7.125,9.625,0.655963,0.345256,314.985,431.758,14.5351,825.85,3021.98,0.400132,0.863017,1,0,0,0,0,A,1
PCN,5,3519.33,-128.982,-24.3895,24.3895,-25.125,-23.875,0.474019,1,51.3125,0,51.3125,51.3125,51.3125,0.977778,0,,,,,,,
