iso3_a,iso3_b,shared_edges,shared_corners
ISR,PSE,12,16
ISR,SYR,3,5
ITA,SVN,4,6
JOR,PSE,4,8
JOR,SAU,35,48
JOR,SYR,17,22
JPN,RUS,8,8
KAZ,KGZ,51,77
KAZ,RUS,304,422
KAZ,TKM,21,31
KAZ,UZB,108,158
KEN,SOM,28,44
KEN,SSD,11,11
KEN,TZA,36,48
KEN,UGA,28,40
KGZ,TJK,31,50
KGZ,UZB,33,46
KHM,LAO,14,17
KHM,THA,29,39
KHM,VNM,36,54
KOR,PRK,18,25
KOS,MKD,6,7
KOS,MNE,2,2
KOS,SRB,13,14
KWT,SAU,11,16
LAO,MMR,9,9
LAO,THA,62,84
LAO,VNM,63,83
LBN,SYR,13,14
LBR,SLE,12,13
LBY,NER,16,24
LBY,SDN,14,26
LBY,TCD,54,71
LBY,TUN,20,30
LCA,MTQ,2,2
LCA,VCT,1,2
LSO,ZAF,36,46
LTU,LVA,29,44
LTU,POL,5,6
LTU,RUS,11,19
LVA,RUS,8,11
MDA,ROU,19,25
MDA,UKR,33,45
MEX,USA,120,180
MKD,SRB,4,7
MLI,MRT,84,144
MLI,NER,32,55
MLI,SEN,12,17
MMR,THA,73,106
MNE,SRB,6,7
MNG,RUS,156,248
MOZ,MWI,55,77
MOZ,SWZ,4,5
MOZ,TZA,32,46
MOZ,ZAF,21,34
MOZ,ZMB,18,26
MOZ,ZWE,46,68
MRT,SEN,29,37
MWI,TZA,17,24
MWI,ZMB,28,39
MYS,PHL,8,9
MYS,SGP,4,3
MYS,THA,17,27
NAM,ZAF,40,60
NAM,ZMB,8,14
NER,NGA,59,87
NER,TCD,51,72
NGA,TCD,5,7
NIC,SLV,1,2
NOR,RUS,14,19
NOR,SWE,95,137
OMN,SAU,31,44
OMN,YEM,14,18
PAK,TJK,1,2
PNG,SLB,4,7
POL,RUS,15,27
POL,SVK,21,31
POL,UKR,17,23
PRI,VIR,1,1
PRK,RUS,3,3
QAT,SAU,7,9
ROU,SRB,19,23
ROU,UKR,28,44
RUS,UKR,71,104
RWA,TZA,8,11
RWA,UGA,7,7
SAU,YEM,57,85
SDN,SSD,80,111
SDN,TCD,48,80
SSD,UGA,16,25
SVK,UKR,3,4
SWZ,ZAF,20,27
SYR,TUR,34,57
TJK,UZB,40,55
TKM,UZB,69,99
TTO,VEN,6,9
TZA,UGA,14,28
TZA,ZMB,14,20
VGB,VIR,1,2
ZAF,ZWE,8,16
ZMB,ZWE,32,42
