variant,fit,fold,column,coefficient
M0_legacy_representation,primary_training,4,population,0.02313255374816507
M0_legacy_representation,primary_training,4,station_density,-0.0017421637264964567
M0_legacy_representation,primary_training,4,climate_zone=B,0.00476256045640677
M0_legacy_representation,primary_training,4,climate_zone=C,-0.02203295993220684
M0_legacy_representation,primary_training,4,climate_zone=D,-0.007447952381893154
M0_legacy_representation,primary_training,4,climate_zone=E,-0.09196685113355302
M0_legacy_representation,primary_training,4,hemisphere=S,-0.019435866715583595
M0_legacy_representation,primary_training,4,spatial_block=Asia,-0.0437932451579336
M0_legacy_representation,primary_training,4,spatial_block=Europe,-0.053153130785767784
M0_legacy_representation,primary_training,4,spatial_block=North America,-0.08113653109102513
M0_legacy_representation,primary_training,4,spatial_block=Oceania,-0.05485593480191471
M0_legacy_representation,primary_training,4,spatial_block=South America,-0.0594785498504626
M0_legacy_representation,primary_training,4,income_group=Low-income countries,0.012965293605452802
M0_legacy_representation,primary_training,4,income_group=Lower-middle-income countries,-0.008078104201708859
M0_legacy_representation,primary_training,4,income_group=Upper-middle-income countries,-0.01243193850727378
M0_legacy_representation,primary_training,5,intercept,0.014568584253496058
M0_legacy_representation,primary_training,5,cum_co2_per_capita,0.040046361923438474
M0_legacy_representation,primary_training,5,cum_co2_total,-0.022836161265839094
M0_legacy_representation,primary_training,5,abs_latitude,0.001130733827135483
M0_legacy_representation,primary_training,5,elevation,-2.9278061720317024e-06
M0_legacy_representation,primary_training,5,continentality,3.911957674031016e-05
M0_legacy_representation,primary_training,5,population,0.024528982331695218
M0_legacy_representation,primary_training,5,station_density,-0.0016193572185394373
M0_legacy_representation,primary_training,5,climate_zone=B,0.0081676556756367
M0_legacy_representation,primary_training,5,climate_zone=C,-0.019082339689131735
M0_legacy_representation,primary_training,5,climate_zone=D,-0.0037952411946002504
M0_legacy_representation,primary_training,5,climate_zone=E,-0.09130445306569192
M0_legacy_representation,primary_training,5,hemisphere=S,-0.03320056739501264
M0_legacy_representation,primary_training,5,spatial_block=Asia,-0.05173952242420296
M0_legacy_representation,primary_training,5,spatial_block=Europe,-0.06346478733048999
M0_legacy_representation,primary_training,5,spatial_block=North America,-0.08906426629503134
M0_legacy_representation,primary_training,5,spatial_block=Oceania,-0.050711649581240234
M0_legacy_representation,primary_training,5,spatial_block=South America,-0.05519941585160601
M0_legacy_representation,primary_training,5,income_group=Low-income countries,0.010833357474171773
M0_legacy_representation,primary_training,5,income_group=Lower-middle-income countries,-0.005816466329887249
M0_legacy_representation,primary_training,5,income_group=Upper-middle-income countries,-0.012124085573862709
M0_legacy_representation,primary_training,6,intercept,0.016324356940677187
M0_legacy_representation,primary_training,6,cum_co2_per_capita,0.04414744431815709
M0_legacy_representation,primary_training,6,cum_co2_total,-0.026595755921865763
M0_legacy_representation,primary_training,6,abs_latitude,0.0008590042764200818
M0_legacy_representation,primary_training,6,elevation,-2.2469627815371623e-06
M0_legacy_representation,primary_training,6,continentality,4.9082247194396946e-05
M0_legacy_representation,primary_training,6,population,0.0272029414040368
M0_legacy_representation,primary_training,6,station_density,-0.0016704557935863426
M0_legacy_representation,primary_training,6,climate_zone=B,0.0020303246261260447
M0_legacy_representation,primary_training,6,climate_zone=C,-0.02291882246353075
M0_legacy_representation,primary_training,6,climate_zone=D,-0.007540783608010656
M0_legacy_representation,primary_training,6,climate_zone=E,-0.09168814275931811
M0_legacy_representation,primary_training,6,hemisphere=S,-0.0306517661555961
M0_legacy_representation,primary_training,6,spatial_block=Asia,-0.05694335290626077
M0_legacy_representation,primary_training,6,spatial_block=Europe,-0.06554116030001551
M0_legacy_representation,primary_training,6,spatial_block=North America,-0.09843435915321318
M0_legacy_representation,primary_training,6,spatial_block=Oceania,-0.059045458356250115
M0_legacy_representation,primary_training,6,spatial_block=South America,-0.06727459149245357
M0_legacy_representation,primary_training,6,income_group=Low-income countries,0.0006819240084628099
M0_legacy_representation,primary_training,6,income_group=Lower-middle-income countries,-0.012015424580490685
M0_legacy_representation,primary_training,6,income_group=Upper-middle-income countries,-0.014571346570935418
M0_legacy_representation,primary_training,7,intercept,0.01630418211754626
M0_legacy_representation,primary_training,7,cum_co2_per_capita,0.044750288023369014
M0_legacy_representation,primary_training,7,cum_co2_total,-0.026001061185397457
M0_legacy_representation,primary_training,7,abs_latitude,0.0007101041712077376
M0_legacy_representation,primary_training,7,elevation,-3.09783114906704e-06
M0_legacy_representation,primary_training,7,continentality,5.363811046867904e-05
M0_legacy_representation,primary_training,7,population,0.027073743496505404
M0_legacy_representation,primary_training,7,station_density,-0.0016579313251752993
M0_legacy_representation,primary_training,7,climate_zone=B,0.004787482336550031
M0_legacy_representation,primary_training,7,climate_zone=C,-0.020185819794043956
M0_legacy_representation,primary_training,7,climate_zone=D,-0.004112257893455944
M0_legacy_representation,primary_training,7,climate_zone=E,-0.08490752138582532
